Station Name,EAST POINT (AUT),,,,,,,,,,,,,,,,,,,,,,,,,
Province,PRINCE EDWARD ISLAND,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,46.46,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-61.99,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation,7.7,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Identifier,8300418,,,,,,,,,,,,,,,,,,,,,,,,,
WMO Identifier,71412,,,,,,,,,,,,,,,,,,,,,,,,,
TC Identifier,WEP,,,,,,,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),,,,,,,,,,,,
2013/1/13,2013,1,13,,1.1,,-4.3,,-1.6,,19.6,,0,,,M,,M,0,,1,,,,<31,
2013/1/14,2013,1,14,,8.4,,0.1,,4.3,,13.7,,0,,,M,,M,0,,1,,28,,56,
2013/1/15,2013,1,15,,0.3,,-4.5,,-2.1,,20.1,,0,,,M,,M,0,,1,,31,,59,
2013/1/16,2013,1,16,,-2.9,,-6.1,,-4.5,,22.5,,0,,0,,,M,2.2,,1,,33,,39,
2013/1/17,2013,1,17,,1.9,,-8.9,,-3.5,,21.5,,0,,,M,,M,0.5,,6,,33,,67,
2013/1/18,2013,1,18,,-8.7,,-17,,-12.9,,30.9,,0,,0,,,M,1.8,,5,,31,,57,
2013/1/19,2013,1,19,,-1.4,,-16.8,,-9.1,,27.1,,0,,,M,,M,0.7,,8,,19,,56,
2013/1/20,2013,1,20,,4,,-3.6,,0.2,,17.8,,0,,,M,,M,3.1,,7,,17,,57,
2013/1/21,2013,1,21,,0.6,,-12.4,,-5.9,,23.9,,0,,,M,,M,0.2,,1,,29,,61,
2013/1/22,2013,1,22,,-8.9,,-13.2,,-11.1,,29.1,,0,,,M,,M,0,,1,,31,,56,
2013/1/23,2013,1,23,,-12.3,,-20.1,,-16.2,,34.2,,0,,,M,,M,,M,1,,,,<31,
2013/1/24,2013,1,24,,-16,,-21.6,,-18.8,,36.8,,0,,,M,,M,0.2,,1,,26,,46,
2013/1/25,2013,1,25,,-10,,-19.4,,-14.7,,32.7,,0,,,M,,M,0.2,,1,,28,,52,
2013/1/26,2013,1,26,,-10,,-15,,-12.5,,30.5,,0,,,M,,M,0.2,,1,,30,,39,
2013/1/27,2013,1,27,,-6.6,,-10.9,,-8.8,,26.8,,0,,,M,,M,0.2,,7,,31,,59,
2013/1/28,2013,1,28,,-6.4,,-9.6,,-8,,26,,0,,,M,,M,0.2,,2,,30,,52,
2013/1/29,2013,1,29,,-3.5,,-10.5,,-7,,25,,0,,,M,,M,0,,1,,,,<31,
2013/1/30,2013,1,30,,5.8,,-7.6,,-0.9,,18.9,,0,,,M,,M,3.8,,1,,23,,61,
2013/1/31,2013,1,31,,8.4,,2,,5.2,,12.8,,0,,,M,,M,,M,2,,21,,63,
2013/2/1,2013,2,1,,2.1,,-7.6,,-2.8,,20.8,,0,,,M,,M,,M,,,,,<31,
2013/2/2,2013,2,2,,-7.5,,-12.6,,-10.1,,28.1,,0,,,M,,M,,M,,,30,,44,
2013/2/3,2013,2,3,,-0.6,,-10.8,,-5.7,,23.7,,0,,,M,,M,,M,,,6,,50,
2013/2/4,2013,2,4,,0,,-9.9,,-5,,23,,0,,,M,,M,,M,,,,,<31,
2013/2/5,2013,2,5,,-9.8,,-15.1,,-12.5,,30.5,,0,,,M,,M,,M,,,27,,32,
2013/2/6,2013,2,6,,-6.1,,-14.2,,-10.2,,28.2,,0,,,M,,M,0,,55,,23,,39,
2013/2/7,2013,2,7,,-6.6,,-18.6,,-12.6,,30.6,,0,,,M,,M,0.2,,,,,,<31,
2013/2/8,2013,2,8,,-10.5,,-17.4,,-14,,32,,0,,,M,,M,0,,31,,30,,46,
2013/2/9,2013,2,9,,-4.9,,-10.6,,-7.8,,25.8,,0,,,M,,M,4.1,,32,,5,,83,
2013/2/10,2013,2,10,,-4.2,,-5.5,,-4.9,,22.9,,0,,,M,,M,1.1,,23,,35,,78,
2013/2/11,2013,2,11,,-3.2,,-8.9,,-6.1,,24.1,,0,,,M,,M,0.4,,23,,17,,46,
2013/2/12,2013,2,12,,3.5,,-3.2,,0.2,,17.8,,0,,,M,,M,6.2,,25,,30,E,56,E
2013/2/13,2013,2,13,,-1.4,,-2.9,,-2.2,,20.2,,0,,,M,,M,0.6,,29,,32,,57,
2013/2/14,2013,2,14,,-1.8,,-6.9,,-4.4,,22.4,,0,,,M,,M,0,,29,,,,<31,
2013/2/15,2013,2,15,,1,,-7.9,,-3.5,,21.5,,0,,,M,,M,0,,28,,,,<31,
2013/2/16,2013,2,16,,2.2,,-1.7,,0.3,,17.7,,0,,,M,,M,0,,29,,18,,39,
2013/2/17,2013,2,17,,2.6,,-0.9,,0.9,,17.1,,0,,,M,,M,21.6,,34,,7,,65,
2013/2/18,2013,2,18,,1.3,,-5,,-1.9,,19.9,,0,,,M,,M,3,,29,,28,,89,
2013/2/19,2013,2,19,,-1.9,,-3.8,,-2.9,,20.9,,0,,,M,,M,0,,28,,29,,74,
2013/2/20,2013,2,20,,1,,-8,,-3.5,,21.5,,0,,,M,,M,1.4,,28,,12,,74,
2013/2/21,2013,2,21,,0.9,,-1,,-0.1,,18.1,,0,,,M,,M,0.9,,28,,4,,63,
2013/2/22,2013,2,22,,-1,,-4.4,,-2.7,,20.7,,0,,,M,,M,0.2,,28,,3,,70,
2013/2/23,2013,2,23,,-3.8,,-9.2,,-6.5,,24.5,,0,,,M,,M,0,,28,,,,<31,
2013/2/24,2013,2,24,,-5.1,,-11.8,,-8.5,,26.5,,0,,,M,,M,0,,28,,,,<31,
2013/2/25,2013,2,25,,-1.6,,-8.3,,-5,,23,,0,,,M,,M,0,,28,,4,,41,
2013/2/26,2013,2,26,,-2,,-9,,-5.5,,23.5,,0,,,M,,M,0,,28,,,,<31,
2013/2/27,2013,2,27,,-4.1,,-9.9,,-7,,25,,0,,,M,,M,0,,28,,,,<31,
2013/2/28,2013,2,28,,-0.2,,-7.1,,-3.7,,21.7,,0,,,M,,M,0,,28,,,,<31,
2013/3/1,2013,3,1,,-0.4,,-3.3,,-1.9,,19.9,,0,,,M,,M,0,,28,,3,,48,
2013/3/2,2013,3,2,,0.8,,-0.6,,0.1,,17.9,,0,,,M,,M,0.2,,28,,4,,39,
2013/3/3,2013,3,3,,1.2,,-0.8,,0.2,,17.8,,0,,0,,,M,7.4,,28,,,,<31,
2013/3/4,2013,3,4,,2.8,,-0.6,,1.1,,16.9,,0,,,M,,M,2,,36,,,,<31,
2013/3/5,2013,3,5,,1.8,,-1.4,,0.2,,17.8,,0,,,M,,M,1,,30,,7,,43,
2013/3/6,2013,3,6,,0.1,,-1.8,,-0.9,,18.9,,0,,,M,,M,0,,29,,5,,37,
2013/3/7,2013,3,7,,0.7,,-3.9,,-1.6,,19.6,,0,,,M,,M,0,,29,,4,,32,
2013/3/8,2013,3,8,,0.2,,-3.8,,-1.8,,19.8,,0,,,M,,M,0,,28,,7,,41,
2013/3/9,2013,3,9,,-0.1,,-1.7,,-0.9,,18.9,,0,,,M,,M,0,,28,,,,<31,
2013/3/10,2013,3,10,,0.8,,-3.7,,-1.5,,19.5,,0,,,M,,M,0,,28,,,,<31,
2013/3/11,2013,3,11,,1.5,,-3.1,,-0.8,,18.8,,0,,,M,,M,0,,28,,19,,39,
2013/3/12,2013,3,12,,3.5,,-1.3,,1.1,,16.9,,0,,,M,,M,0,,28,,17,,43,
2013/3/13,2013,3,13,,5.7,,1.9,,3.8,,14.2,,0,,,M,,M,0,,22,,18,,50,
2013/3/14,2013,3,14,,5.8,,-2.4,,1.7,,16.3,,0,,,M,,M,19.9,,8,,16,,52,
2013/3/15,2013,3,15,,-0.8,,-3.3,,-2.1,,20.1,,0,,0,,,M,2.5,,7,,3,,33,
2013/3/16,2013,3,16,,-2.5,,-8.8,,-5.7,,23.7,,0,,,M,,M,0.8,,12,,30,,46,
2013/3/17,2013,3,17,,-1.6,,-9.6,,-5.6,,23.6,,0,,,M,,M,0.6,,12,,31,,72,
2013/3/18,2013,3,18,,-6.4,,-10.7,,-8.6,,26.6,,0,,,M,,M,0,,9,,30,,70,
2013/3/19,2013,3,19,,-4.3,,-7.2,,-5.8,,23.8,,0,,,M,,M,,M,8,,,,<31,
2013/3/20,2013,3,20,,2.2,,-4.3,,-1.1,,19.1,,0,,0,,,M,3.6,,12,,12,,70,
2013/3/21,2013,3,21,,2.8,,-3,,-0.1,,18.1,,0,,,M,,M,2,,15,,4,,69,
2013/3/22,2013,3,22,,-1.1,,-2.7,,-1.9,,19.9,,0,,0,,,M,3,,52,,35,,87,
2013/3/23,2013,3,23,,1.6,,-3.3,,-0.9,,18.9,,0,,,M,,M,0.5,,27,,21,,41,
2013/3/24,2013,3,24,,0.5,,-3.5,,-1.5,,19.5,,0,,,M,,M,0.7,,26,,30,,37,
2013/3/25,2013,3,25,,1.3,,-4.5,,-1.6,,19.6,,0,,,M,,M,0.2,,24,,34,,35,
2013/3/26,2013,3,26,,0.8,,-2.8,,-1,,19,,0,,,M,,M,3.2,,21,,1,,44,
2013/3/27,2013,3,27,,1.1,,-0.8,,0.2,,17.8,,0,,,M,,M,0.2,,22,,2,,46,
2013/3/28,2013,3,28,,1.6,,-1.8,,-0.1,,18.1,,0,,,M,,M,0,,20,,2,,39,
2013/3/29,2013,3,29,,0.8,,-3.5,,-1.4,,19.4,,0,,,M,,M,0,,18,,33,,41,
2013/3/30,2013,3,30,,1,,-4.9,,-2,,20,,0,,,M,,M,0,,18,,33,,32,
2013/3/31,2013,3,31,,3.7,,-5,,-0.7,,18.7,,0,,,M,,M,0,,16,,,,<31,
2013/4/1,2013,4,1,,3.5,,-1.7,,0.9,,17.1,,0,,,M,,M,0.8,,15,,13,,63,
2013/4/2,2013,4,2,,4.1,,-2.2,,1,,17,,0,,,M,,M,0.9,,10,,25,,50,
2013/4/3,2013,4,3,,-1.3,,-4.6,,-3,,21,,0,,,M,,M,0,,7,,25,,54,
2013/4/4,2013,4,4,,3.5,,-2.5,,0.5,,17.5,,0,,,M,,M,0,,7,,29,,48,
2013/4/5,2013,4,5,,4.9,,-0.3,,2.3,,15.7,,0,,,M,,M,9.2,,5,,22,,41,
2013/4/6,2013,4,6,,0.4,,-2.2,,-0.9,,18.9,,0,,,M,,M,2.4,,2,,30,,74,
2013/4/7,2013,4,7,,0.4,,-2.5,,-1.1,,19.1,,0,,,M,,M,0,,2,,31,,54,
2013/4/8,2013,4,8,,4.3,,-1.1,,1.6,,16.4,,0,,,M,,M,0.2,,2,,19,,41,
2013/4/9,2013,4,9,,2.4,,-0.9,,0.8,,17.2,,0,,,M,,M,0,,2,,,,<31,
2013/4/10,2013,4,10,,2.8,,-0.8,,1,,17,,0,,,M,,M,0,,1,,,,<31,
2013/4/11,2013,4,11,,2.7,,-0.3,,1.2,,16.8,,0,,,M,,M,0,,1,,30,,54,
2013/4/12,2013,4,12,,2.2,,-0.4,,0.9,,17.1,,0,,0,,,M,2.1,,1,,33,,48,
2013/4/13,2013,4,13,,1.5,,-0.2,,0.7,,17.3,,0,,,M,,M,3.2,,5,,7,,41,
2013/4/14,2013,4,14,,1.5,,-0.4,,0.6,,17.4,,0,,,M,,M,,M,1,,,,<31,
2013/4/15,2013,4,15,,2.7,,-3.4,,-0.4,,18.4,,0,,,M,,M,0.2,,1,,,,<31,
2013/4/16,2013,4,16,,7.5,,-3.5,,2,,16,,0,,,M,,M,2,,1,,20,,59,
2013/4/17,2013,4,17,,8.1,,1,,4.6,,13.4,,0,,,M,,M,3.4,,,,29,,74,
2013/4/18,2013,4,18,,2.3,,0,,1.2,,16.8,,0,,,M,,M,0,,,,18,,41,
2013/4/19,2013,4,19,,12.3,,1.2,,6.8,,11.2,,0,,,M,,M,0,,,,18,,50,
2013/4/20,2013,4,20,,12,,3.9,,8,,10,,0,,,M,,M,2,,,,20,,59,
2013/4/21,2013,4,21,,6.6,,-1.2,,2.7,,15.3,,0,,,M,,M,0,,,,30,,43,
2013/4/22,2013,4,22,,3.1,,-0.9,,1.1,,16.9,,0,,,M,,M,0,,,,19,,32,
2013/4/23,2013,4,23,,5.9,,-0.2,,2.9,,15.1,,0,,,M,,M,2.6,,,,18,,46,
2013/4/24,2013,4,24,,8.5,,2.5,,5.5,,12.5,,0,,,M,,M,1.4,,,,16,,67,
2013/4/25,2013,4,25,,10.6,,3.6,,7.1,,10.9,,0,,,M,,M,6.4,,,,17,,56,
2013/4/26,2013,4,26,,3.6,,1.5,,2.6,,15.4,,0,,,M,,M,13.5,,,,5,,52,
2013/4/27,2013,4,27,,2.4,,1,,1.7,,16.3,,0,,,M,,M,0,,,,35,,44,
2013/4/28,2013,4,28,,5.1,,1.1,,3.1,,14.9,,0,,,M,,M,0,,,,32,,32,
2013/4/29,2013,4,29,,5.1,,1.5,,3.3,,14.7,,0,,,M,,M,0.2,,,,,,<31,
2013/4/30,2013,4,30,,8.1,,2.9,,5.5,,12.5,,0,,,M,,M,0.2,,,,,,<31,
2013/5/1,2013,5,1,,8.2,,2.3,,5.3,,12.7,,0,,,M,,M,0,,,,3,,32,
2013/5/2,2013,5,2,,5.9,,2.3,,4.1,,13.9,,0,,,M,,M,0,,,,5,,41,
2013/5/3,2013,5,3,,6.5,,2.1,,4.3,,13.7,,0,,,M,,M,0,,,,5,,32,
2013/5/4,2013,5,4,,6.8,,2.3,,4.6,,13.4,,0,,,M,,M,0.2,,,,,,<31,
2013/5/5,2013,5,5,,12.2,,0.9,,6.6,,11.4,,0,,,M,,M,0,,,,20,,33,
2013/5/6,2013,5,6,,15.7,,4.3,,10,,8,,0,,,M,,M,0,,,,21,,43,
2013/5/7,2013,5,7,,23.6,,6.2,,14.9,,3.1,,0,,,M,,M,0,,,,25,,52,
2013/5/8,2013,5,8,,13.9,,5.9,,9.9,,8.1,,0,,,M,,M,0,,,,18,,50,
2013/5/9,2013,5,9,,16.3,,6.9,,11.6,,6.4,,0,,,M,,M,1,,,,18,,44,
2013/5/10,2013,5,10,,12.4,,7.7,,10.1,,7.9,,0,,,M,,M,7,,,,18,,37,
2013/5/11,2013,5,11,,12.8,,6.4,,9.6,,8.4,,0,,,M,,M,6.5,,,,17,,48,
2013/5/12,2013,5,12,,13,,7.9,,10.5,,7.5,,0,,,M,,M,15.5,,,,17,,50,
2013/5/13,2013,5,13,,14.9,,5.8,,10.4,,7.6,,0,,,M,,M,3.5,,,,18,,44,
2013/5/14,2013,5,14,,7.3,,4.8,,6.1,,11.9,,0,,,M,,M,13.3,,,,3,,63,
2013/5/15,2013,5,15,,11,,3.6,,7.3,,10.7,,0,,,M,,M,5.2,,,,30,,72,
2013/5/16,2013,5,16,,8.5,,4.8,,6.7,,11.3,,0,,,M,,M,0.3,,,,17,,41,
2013/5/17,2013,5,17,,8.9,,3.5,,6.2,,11.8,,0,,,M,,M,0.7,,,,2,,52,
2013/5/18,2013,5,18,,3.9,,2,,3,,15,,0,,,M,,M,7.6,,,,2,,61,
2013/5/19,2013,5,19,,6.4,,-0.5,,3,,15,,0,,,M,,M,,M,,,36,E,50,E
2013/5/20,2013,5,20,,10.1,,-0.2,,5,,13,,0,,,M,,M,0,,,,,,<31,
2013/5/21,2013,5,21,,10,,3.8,,6.9,,11.1,,0,,,M,,M,0.6,,,,,,<31,
2013/5/22,2013,5,22,,8.7,,4.5,,6.6,,11.4,,0,,,M,,M,0,,,,,,<31,
2013/5/23,2013,5,23,,12.4,,7,,9.7,,8.3,,0,,,M,,M,0,,,,18,,56,
2013/5/24,2013,5,24,,16.8,,9.4,,13.1,,4.9,,0,,,M,,M,0,,,,20,,54,
2013/5/25,2013,5,25,,14.6,,9.5,,12.1,,5.9,,0,,,M,,M,12.4,,,,15,,52,
2013/5/26,2013,5,26,,14.3,,7.4,,10.9,,7.1,,0,,,M,,M,0.6,,,,19,,44,
2013/5/27,2013,5,27,,12,,5.7,,8.9,,9.1,,0,,,M,,M,0.6,,,,20,,33,
2013/5/28,2013,5,28,,8.7,,3.4,,6.1,,11.9,,0,,,M,,M,0.2,,,,32,,41,
2013/5/29,2013,5,29,,14.3,,3.4,,8.9,,9.1,,0,,,M,,M,0,,,,17,,44,
2013/5/30,2013,5,30,,13.5,,9,,11.3,,6.7,,0,,,M,,M,7.5,,,,18,,41,
2013/5/31,2013,5,31,,23.7,,10.3,,17,,1,,0,,,M,,M,2.1,,,,26,,39,
2013/6/1,2013,6,1,,12.9,,8.5,E,10.7,E,7.3,E,0,E,,M,,M,0.6,,,,,,<31,
2013/6/2,2013,6,2,,16.9,,8.8,,12.9,,5.1,,0,,,M,,M,0,,,,19,,43,
2013/6/3,2013,6,3,,19.6,,11.7,,15.7,,2.3,,0,,,M,,M,2.8,,,,21,,43,
2013/6/4,2013,6,4,,18.5,,7,,12.8,,5.2,,0,,,M,,M,2,,,,34,,54,
2013/6/5,2013,6,5,,12.7,,8.7,,10.7,,7.3,,0,,,M,,M,0,,,,31,,44,
2013/6/6,2013,6,6,,13.6,E,7.6,E,10.6,E,7.4,E,0,E,,M,,M,,M,,,31,E,46,E
2013/6/7,2013,6,7,,16.6,,8.9,E,12.8,E,5.2,E,0,E,,M,,M,,M,,,19,E,33,E
2013/6/8,2013,6,8,,10.8,,8.5,,9.7,,8.3,,0,,,M,,M,40.1,,,,12,,54,
2013/6/9,2013,6,9,,11.2,,8,,9.6,,8.4,,0,,,M,,M,0.2,,,,3,,48,
2013/6/10,2013,6,10,,16.7,,8.5,,12.6,,5.4,,0,,,M,,M,,M,,,,,<31,
2013/6/11,2013,6,11,,,M,,M,,M,,M,,M,,M,,M,,M,,,,,<31,
2013/6/12,2013,6,12,,12.7,,9.9,,11.3,,6.7,,0,,,M,,M,9.9,,,,5,,52,
2013/6/13,2013,6,13,,10.8,,8.8,,9.8,,8.2,,0,,,M,,M,0.2,,,,6,,65,
2013/6/14,2013,6,14,,12.8,,9,,10.9,,7.1,,0,,,M,,M,0,,,,,,<31,
2013/6/15,2013,6,15,,,M,8.6,E,,M,,M,,M,,M,,M,,M,,,26,E,35,E
2013/6/16,2013,6,16,,15.7,,11.3,,13.5,,4.5,,0,,,M,,M,3.4,,,,30,,44,
2013/6/17,2013,6,17,,18.6,,11.5,,15.1,,2.9,,0,,,M,,M,0.5,,,,17,,32,
2013/6/18,2013,6,18,,19,,11,,15,,3,,0,,,M,,M,0,,,,,,<31,
2013/6/19,2013,6,19,,16.1,,8.3,,12.2,,5.8,,0,,,M,,M,0,,,,,,<31,
2013/6/20,2013,6,20,,20,,8.4,,14.2,,3.8,,0,,,M,,M,0,,,,,,<31,
2013/6/21,2013,6,21,,22.7,,10.4,,16.6,,1.4,,0,,,M,,M,0,,,,29,,52,
2013/6/22,2013,6,22,,23.8,,10.2,,17,,1,,0,,,M,,M,0,,,,24,,32,
2013/6/23,2013,6,23,,22,,14.7,,18.4,,0,,0.4,,,M,,M,29,,,,19,,37,
2013/6/24,2013,6,24,,22.9,,14.6,,18.8,,0,,0.8,,,M,,M,0.2,,,,,,<31,
2013/6/25,2013,6,25,,22.3,,14.8,,18.6,,0,,0.6,,,M,,M,0,,,,30,,32,
2013/6/26,2013,6,26,,15.7,,11.5,,13.6,,4.4,,0,,,M,,M,0,,,,3,,41,
2013/6/27,2013,6,27,,15.9,,11.4,,13.7,,4.3,,0,,,M,,M,0,,,,,,<31,
2013/6/28,2013,6,28,,15.7,,11.4,,13.6,,4.4,,0,,,M,,M,8,,,,12,,43,
2013/6/29,2013,6,29,,19.1,,13.7,,16.4,,1.6,,0,,,M,,M,2.4,,,,17,,41,
2013/6/30,2013,6,30,,21.5,,16.2,,18.9,,0,,0.9,,,M,,M,0.2,,,,22,,46,
2013/7/1,2013,7,1,,22.5,,13.6,,18.1,,0,,0.1,,,M,,M,17.4,,,,23,,39,
2013/7/2,2013,7,2,,16.6,,11.3,,14,,4,,0,,,M,,M,0,,,,6,,32,
2013/7/3,2013,7,3,,18.6,,12.9,,15.8,,2.2,,0,,,M,,M,,M,,,,,<31,
2013/7/4,2013,7,4,,25.9,,16.3,,21.1,,0,,3.1,,,M,,M,0,,,,29,,39,
2013/7/5,2013,7,5,,27.7,,19.4,,23.6,,0,,5.6,,,M,,M,0,,,,29,,35,
2013/7/6,2013,7,6,,26.4,,19.4,,22.9,,0,,4.9,,,M,,M,0,,,,28,,37,
2013/7/7,2013,7,7,,26.8,,16.8,,21.8,,0,,3.8,,,M,,M,0,,,,29,,41,
2013/7/8,2013,7,8,,21.1,,13.1,,17.1,,0.9,,0,,,M,,M,0,,,,,,<31,
2013/7/9,2013,7,9,,18.9,,11.7,,15.3,,2.7,,0,,,M,,M,0,,,,,,<31,
2013/7/10,2013,7,10,,21.2,,13.8,,17.5,,0.5,,0,,,M,,M,0,,,,18,,44,
2013/7/11,2013,7,11,,21.6,,16.8,,19.2,,0,,1.2,,,M,,M,4.2,,,,18,,44,
2013/7/12,2013,7,12,,19.5,,12.2,,15.9,,2.1,,0,,,M,,M,0,,,,,,<31,
2013/7/13,2013,7,13,,21.7,,11.8,,16.8,,1.2,,0,,,M,,M,0,,,,,,<31,
2013/7/14,2013,7,14,,24.1,,16,,20.1,,0,,2.1,,,M,,M,0,,,,,,<31,
2013/7/15,2013,7,15,,28.4,,19,,23.7,,0,,5.7,,,M,,M,0,,,,,,<31,
2013/7/16,2013,7,16,,20.5,,10.9,,15.7,,2.3,,0,,,M,,M,0,,,,2,,44,
2013/7/17,2013,7,17,,22.5,,11.1,,16.8,,1.2,,0,,,M,,M,0,,,,20,,52,
2013/7/18,2013,7,18,,21.4,,11.5,,16.5,,1.5,,0,,,M,,M,8.5,,,,22,,48,
2013/7/19,2013,7,19,,19.7,,11.2,,15.5,,2.5,,0,,,M,,M,0.7,,,,18,,52,
2013/7/20,2013,7,20,,28.2,,19.1,,23.7,,0,,5.7,,,M,,M,0,,,,27,,44,
2013/7/21,2013,7,21,,22.1,,12.3,,17.2,,0.8,,0,,,M,,M,0,,,,30,,54,
2013/7/22,2013,7,22,,22.3,,13,,17.7,,0.3,,0,,,M,,M,0,,,,,,<31,
2013/7/23,2013,7,23,,21.5,,15.6,,18.6,,0,,0.6,,,M,,M,21.2,,,,17,,48,
2013/7/24,2013,7,24,,24.2,,19.2,,21.7,,0,,3.7,,,M,,M,0,,,,22,,43,
2013/7/25,2013,7,25,,20.3,,15.7,,18,,0,,0,,,M,,M,11.5,,,,5,,33,
2013/7/26,2013,7,26,,24.5,,16.9,,20.7,,0,,2.7,,,M,,M,20.3,,,,16,,44,
2013/7/27,2013,7,27,,22.4,,16.1,,19.3,,0,,1.3,,,M,,M,0,,,,20,,48,
2013/7/28,2013,7,28,,17.6,,15.5,,16.6,,1.4,,0,,,M,,M,0,,,,30,,43,
2013/7/29,2013,7,29,,21.7,,16,,18.9,,0,,0.9,,,M,,M,19.5,,,,15,,37,
2013/7/30,2013,7,30,,22.6,,18.1,,20.4,,0,,2.4,,,M,,M,,M,,,,,<31,
2013/7/31,2013,7,31,,24,,15.8,,19.9,,0,,1.9,,,M,,M,,M,,,,,<31,
2013/8/1,2013,8,1,,24.6,,15.8,,20.2,,0,,2.2,,,M,,M,,M,,,,,<31,
2013/8/2,2013,8,2,,21.9,,16.2,,19.1,,0,,1.1,,,M,,M,,M,,,,,<31,
