Latitude (Decimal Degrees),Longitude (Decimal Degrees)
48.45,-123.39
48.45,-123.27
48.34,-123.54
48.47,-123.33
48.53,-123.46
48.88,-124.22
48.88,-124.22
48.92,-123.7
48.87,-123.32
48.88,-123.35
48.6,-123.45
48.55,-123.42
48.78,-123.05
48.43,-123.38
48.43,-123.3
48.46,-123.27
48.45,-123.43
48.52,-123.37
48.43,-123.35
48.52,-123.43
48.47,-123.33
48.45,-123.37
50.58,-126.93
49.35,-124.16
49.85,-125.13
49.8,-125.09
50.42,-125.5
49.45,-124.67
49.17,-123.93
49.28,-124.58
50.02,-125.4
50.02,-125.3
49.95,-125.27
50.07,-125.32
50.05,-125.32
50.2,-125.55
50.02,-125.23
49.95,-125.21
49.95,-125.27
49.95,-125.27
49.7,-124.87
50,-125.2
50,-125.2
50.33,-125.45
49.47,-124.68
49.47,-124.68
50.6,-127.5
49.72,-124.9
49.69,-125.03
49.31,-124.43
50.08,-125.03
50.02,-124.98
50.07,-124.95
49.76,-125
49.69,-125.03
49.68,-125.03
49.7,-124.97
49.62,-125.03
49.52,-124.78
49.52,-124.74
49.55,-124.8
50.07,-125.28
48.76,-123.77
49.2,-123.8
49.21,-123.81
50.45,-125.99
49.35,-124.37
49.15,-123.73
50.1,-125.2
49.3,-124.5
49.53,-124.6
50.38,-125.95
48.95,-123.65
49.5,-124.33
49.73,-124.9
49.35,-124.78
49.35,-124.51
49.37,-124.48
49.37,-124.5
49.75,-125.29
49.75,-125.29
49.75,-125.29
49.47,-124.79
49.58,-125.61
49.18,-123.97
49.05,-123.87
49.05,-123.87
49.05,-123.87
49.15,-123.97
49.28,-124.18
49.27,-124.15
49.25,-124.18
49.2,-123.99
49.17,-123.93
49.88,-125.13
49.3,-124.3
49.33,-124.33
49.33,-124.3
49.22,-123.95
50.98,-127.73
50.67,-127.48
50.68,-127.37
50.68,-127.37
50.72,-127.43
50.58,-127.08
50.18,-125.18
49.34,-124.39
49.33,-124.43
49.35,-124.38
49.39,-124.62
50.02,-125.3
49.75,-125.05
49.93,-124.85
50.37,-126
50.32,-125.93
50.23,-125.77
49.49,-124.43
50,-125.58
49.88,-125.65
50.22,-125.1
50.28,-125.07
49.75,-124.58
49.9,-125.63
49.21,-123.81
49.22,-123.98
49.08,-124.08
49.72,-124.98
49.09,-123.8
49.37,-124.93
49.27,-124.78
49.25,-124.82
49.28,-124.88
49.34,-124.98
48.92,-125.53
48.92,-125.54
49.47,-125.08
49.37,-125.15
48.83,-125.1
48.83,-125.12
48.83,-125.15
50.37,-127.23
50.92,-127.95
48.79,-125.22
50.8,-128.45
50.78,-128.43
48.63,-124.78
48.61,-124.75
48.9,-125
49.15,-125.9
49.8,-126.42
50.37,-127.3
49.38,-126.54
49.38,-126.54
49.67,-126.17
49.78,-126.06
49.35,-125.15
49.13,-125.13
49.13,-125.14
49.4,-125.9
50.65,-128
50.65,-128
50.63,-128.12
50.65,-127.98
50.65,-128
49.13,-125.63
49,-125
48.98,-125.02
50.03,-127.37
49.11,-125.92
49.43,-125.13
50.33,-127.97
48.75,-124.75
48.86,-124.66
49.6,-126.62
48.72,-125.1
49.23,-124.8
49.25,-124.83
49.23,-124.78
49.2,-124.75
49.25,-124.8
49.3,-124.93
50.39,-127.46
50.43,-127.48
50.53,-127.65
50.44,-128.03
50.43,-127.48
49.32,-124.93
50.82,-128.91
50.11,-127.94
50,-127.42
49.92,-126.65
49.93,-126.65
49.08,-125.77
49.08,-125.77
49.27,-125.97
49.15,-125.91
49.08,-125.77
50.87,-129.08
48.97,-125.53
49.05,-125.43
48.95,-125.53
50.52,-128.03
49.98,-126.85
50.05,-126.78
50.03,-126.82
48.67,-124.83
50.15,-122.95
50.12,-123.1
50.15,-122.98
49.52,-123.3
49.35,-123.42
49.33,-123.38
49.36,-123.42
49.41,-123.32
49.37,-123.38
49.36,-123.4
49.39,-123.33
49.4,-123.37
49.58,-123.22
49.48,-123.97
49.4,-123.15
49.8,-123.15
49.72,-123.53
49.98,-123.13
50.1,-123.73
49.44,-123.43
49.98,-123.13
49.4,-123.51
49.39,-123.54
49.8,-124.53
49.52,-123.92
49.58,-124
49.52,-123.9
49.32,-123.17
49.47,-123.48
49.92,-123.87
49.87,-124.15
49.8,-124.32
49.98,-124.77
50.17,-123.85
49.47,-123.91
49.47,-123.92
49.7,-124.08
49.82,-123.15
49.49,-123.3
49.63,-124.03
49.52,-123.48
49.53,-123.5
50.1,-124.47
49.88,-124.55
49.83,-124.5
49.83,-124.5
49.83,-124.5
49.83,-124.5
49.8,-124.52
49.83,-124.52
49.4,-123.68
49.43,-123.62
49.47,-123.77
49.46,-123.72
49.53,-123.77
49.47,-123.81
49.7,-123.13
49.68,-123.17
49.75,-123
49.73,-123.15
49.7,-123.16
49.9,-123.28
49.82,-123.2
49.78,-123.16
49.77,-124.32
49.73,-123.15
49.78,-123.16
49.7,-124.52
49.62,-123.13
50.25,-124.82
50.13,-122.95
50.13,-122.95
49.58,-123.89
49.68,-123.32
49.95,-123.42
49.73,-124.18
49.83,-123.15
51.93,-131.02
51.94,-131.02
53.5,-132.13
53.37,-131.93
53.87,-132.73
52.53,-131.55
52.28,-131.12
53.32,-132.77
54.26,-133.06
54.26,-133.06
54.02,-132.12
54.03,-132.13
54,-132.17
54.03,-132.18
54.03,-132.13
54.03,-132.07
54.03,-131.97
52.93,-132.13
53.05,-132.05
53.68,-132.18
53.25,-132.08
53.3,-132.42
54.16,-131.66
53.25,-131.81
53.25,-131.81
53.25,-131.81
53.25,-131.81
52.45,-131.23
52.88,-131.98
52.77,-132.05
53.5,-131.95
53.76,-132.3
51.6,-127.86
55.68,-129.5
55.47,-129.47
55.42,-129.82
52.17,-128.15
52.19,-128.16
52.19,-128.16
52.15,-128.08
52.37,-126.69
52.39,-126.6
52.37,-126.82
52.39,-126.59
52.39,-126.6
52.39,-126.6
52.64,-128.52
53.49,-130.64
53.49,-130.64
53.15,-128.7
52.19,-127.47
53.03,-131.6
51.58,-127.58
52.19,-128.11
50.6,-126.32
51.25,-127.84
53.05,-129.68
53.98,-129.73
52.45,-126.3
51.67,-126.75
54.57,-130.71
54.58,-130.7
53.42,-129.25
50.94,-127.63
54.17,-130.36
52.27,-128.41
53.56,-127.94
53.83,-128.48
50.95,-126.2
54.05,-128.68
54,-128.7
53.98,-128.65
54.05,-128.63
54.01,-128.71
54.06,-128.64
55.43,-129.47
51.1,-125.58
54.4,-128.52
54.12,-130.35
54.3,-130.61
52.26,-128.72
55,-129.75
50.62,-126.32
54.93,-129.93
51.87,-127.87
52.35,-127.68
54.77,-128.27
52.07,-127.95
54.57,-130.43
56.05,-130.02
54.28,-130.38
54.29,-130.44
54.29,-130.44
54.29,-130.44
54.32,-130.27
54.32,-130.29
54.3,-130.33
54.33,-130.25
51.67,-127.35
51.6,-127.5
54.78,-128.77
50.5,-125.53
50.55,-125.37
54.2,-130.23
54.3,-129.37
50.85,-126.57
55.95,-129.98
55.93,-129.98
55.94,-129.99
55.95,-129.98
55.93,-129.98
52.37,-126.07
52.47,-129.03
53.03,-128.5
50.62,-126.88
54.52,-128.58
54.47,-128.58
54.5,-128.62
54.52,-128.57
54.47,-128.58
50.8,-126
50.42,-125.42
50.52,-124.27
54.29,-130.88
51.68,-127.25
50.48,-125.7
50.4,-125.87
54.04,-128.68
54.58,-128.43
53.83,-128.83
51.5,-127.5
55.23,-129.02
55.18,-129.05
55.07,-126.53
55.05,-126.48
54.45,-125.46
54.83,-128.3
56.47,-130.17
54.12,-127.17
55.5,-128.23
54.2,-126.28
55.32,-126.62
54.8,-126.3
54.95,-126.17
55.2,-127.73
55.27,-127.63
55.27,-127.52
54.38,-126.72
54.4,-126.67
54.15,-126.37
55.27,-127.62
55.47,-127.77
55.42,-128.42
55.5,-129
55.45,-128.48
55.12,-128.05
54.73,-127.07
54.2,-126.9
54.32,-126.8
55.05,-127.3
55.49,-127.83
55.52,-127.8
55.24,-129.03
55.42,-129.02
55.23,-127.6
54.62,-126.9
54.85,-128.8
54.83,-127.18
54.83,-127.18
54.82,-127.18
54.82,-127.19
54.73,-127.1
54.78,-127.08
54.65,-126.83
54.65,-127.12
54.73,-127.02
54.67,-126.92
54.68,-126.98
54.82,-126.16
56.65,-130.45
55.02,-128.32
55.29,-127.17
56.62,-126.68
54.82,-127.22
52.1,-123.62
52.08,-123.28
52.13,-123.33
52.55,-123.18
52.42,-125.92
51.67,-123.07
51.26,-123.09
50.78,-122.82
51.32,-122.5
51.75,-124.47
51.62,-124.15
54.02,-126.13
52.15,-125.28
51.5,-123.78
53.33,-123.82
53.23,-123.6
53.92,-125.92
53.28,-127.02
53.72,-128.1
52.05,-124.9
51.98,-124.93
51.98,-124.99
50.83,-122.87
51.82,-124.47
50.63,-123.4
51.6,-125
54.17,-126.67
53.98,-126.38
53.9,-126.95
54.1,-127.45
52.92,-123.62
53.68,-124.83
51.42,-124.07
52.35,-125.13
52.33,-125.15
53.98,-126.43
53.77,-126
53.77,-126
50.3,-122.74
50.31,-122.73
50.32,-122.82
50.3,-122.74
50.45,-122.93
50.47,-122.93
50.5,-122.98
52.99,-122.96
52.17,-124.2
52.12,-124.08
52.11,-124.14
52.83,-123.08
52.15,-123.7
54.03,-125.77
53.62,-127.7
53.87,-125.87
51.6,-123.68
53.3,-124.73
51.9,-124.6
51.67,-124.41
51.67,-124.4
51.53,-124.17
50.93,-122.78
53.83,-126.21
54.07,-127.37
54.12,-122.07
51.78,-122.28
53.62,-122.95
53.07,-121.51
52.1,-120.88
50.85,-122.43
50.73,-122.22
53.28,-121.45
54.23,-125.77
54.25,-125.8
54.38,-125.96
54.15,-125.73
52.42,-121.97
51.9,-120.78
54.1,-123.07
53.6,-120.7
51.58,-122.25
51.63,-122.25
53.75,-121.17
53.73,-120.98
53.13,-119.85
53.17,-119.83
54.03,-125.1
54.1,-125.17
54.03,-124.22
54.1,-124.55
53.88,-124.58
54.46,-124.29
54.42,-124.25
54.46,-124.29
51.55,-122.33
54.12,-122.27
53.53,-122.7
53.42,-122.58
52.33,-121.42
52.33,-121.42
52.36,-121.36
53.97,-123.23
51.27,-121.97
54.97,-124.25
52.75,-121.4
52.82,-122.37
52.81,-122.41
51.82,-121.47
51.88,-121.73
51.72,-121.55
55.08,-125.58
52.6,-121.53
51.97,-122.35
52.38,-120.72
53.88,-123.88
53.42,-120.35
53.27,-120.15
53.37,-120.25
53.27,-120.13
54.08,-121.83
52.38,-122.37
52.53,-122.29
52.23,-121.48
53.02,-119.23
53.28,-122.48
53.25,-122.33
53.82,-121.92
52.26,-121.72
54.12,-122.65
51.65,-121.27
51.75,-121.33
52.12,-121.93
52.22,-122
53.92,-122.73
53.83,-122.8
53.88,-122.68
53.89,-122.68
53.89,-122.67
53.9,-122.79
53.78,-122.85
54.05,-122.74
53.93,-122.68
53.97,-122.93
53.88,-122.77
53.9,-122.78
52.98,-122.48
53.03,-122.52
53.03,-122.51
53.03,-122.51
53.03,-122.51
53.03,-122.51
53.07,-122.5
53.02,-122.67
53,-119
52.98,-119
52.1,-123.65
52.02,-122.52
54.13,-122.65
54.02,-121.67
52.33,-122.28
52.18,-121.69
53.2,-121.6
54.63,-124.7
55.47,-125.97
52.92,-119.38
52.47,-122.62
52.38,-122.08
54.12,-121.95
54.05,-124
54.03,-124
54.05,-124.13
52.13,-122.17
52.18,-122.05
52.18,-122.05
52.1,-122.18
52.15,-122.17
52.13,-122.15
54.06,-122.47
53.73,-122.32
53.52,-122.65
54.03,-124.02
54.08,-124.27
52.54,-122.49
53.63,-120.8
54.12,-124.75
54.08,-124.85
52,-121
51.62,-121.26
53.37,-122.58
52.1,-122.18
52.03,-122.13
53,-119.54
51.85,-122.65
50.14,-123.11
49.39,-123.21
49.02,-122.33
49.03,-122.36
49.03,-122.36
49.03,-122.36
49.03,-122.25
49.03,-122.3
49.05,-122.27
49.24,-121.76
49.24,-121.76
49.27,-121.83
49.12,-122.48
49.03,-122.48
49.08,-122.52
49.28,-122.48
49.37,-122.32
49.18,-122.93
50.13,-122.95
50.1,-122.92
50.1,-122.94
50.11,-122.94
50.09,-122.98
49.05,-122.47
50.1,-122.92
49.38,-122.86
49.38,-122.87
49.25,-123
49.23,-122.97
49.29,-122.99
49.28,-122.97
49.23,-122.93
49.22,-122.95
49.27,-122.95
49.27,-122.98
49.27,-122.93
49.28,-122.92
49.22,-123.02
49.3,-123.02
49.25,-122.92
49.22,-122.75
49.25,-122.88
50.14,-123.11
50.15,-123.12
50.01,-123.12
50.14,-123.11
50.14,-123.12
50.14,-123.11
49.17,-121.92
49.18,-121.95
49.17,-121.87
49.13,-121.83
49.1,-121.55
49.1,-121.63
49.07,-121.83
49.17,-121.97
49.18,-121.9
49.1,-122.73
49.1,-122.73
49.11,-122.7
49.13,-122.73
49.27,-122.85
49.27,-122.87
49.28,-122.77
49.37,-122.8
49.25,-122.83
49.08,-121.7
49.26,-122.84
49.25,-122.84
49.08,-121.98
49.08,-121.98
49.03,-122.02
49.41,-123.2
49.4,-123.2
49.4,-123.19
49.4,-123.21
49.38,-123.19
49.4,-123.21
49.15,-122.92
49.03,-123.07
49.13,-123
49.08,-123.07
49.07,-123.08
49.08,-122.92
49,-123.08
49.12,-122.92
49.02,-123.1
49.01,-123.09
49.18,-122.07
49.28,-121.97
49.25,-122.82
49.2,-122.62
49.14,-122.55
49.13,-121.97
49.22,-122.6
49.25,-122.52
49.2,-122.56
49.25,-122.62
49.27,-122.52
49.26,-122.57
49.3,-122.58
49.3,-122.55
49.17,-122.25
49.38,-121.93
49.38,-123.18
49.42,-123.23
49,-122.22
49.03,-122.2
49.38,-122.88
49.33,-122.92
49.3,-122.88
49.07,-122.78
49.08,-123.07
49.08,-123.02
49.08,-123.05
49.07,-123.12
49.08,-123.1
49.36,-121.58
49.18,-122.53
49.03,-122.67
49.08,-122.62
49.05,-122.58
49.15,-122.65
49.17,-122.53
49.07,-122.67
49.18,-122.6
49.03,-122.55
49.45,-123.24
49.23,-122.62
49.21,-122.48
49.1,-122.3
49.07,-122.4
49.21,-122.51
49.13,-122.62
49.13,-122.33
49.15,-122.27
49.18,-123.08
49.43,-122.95
49.22,-122.93
49.22,-122.9
49.22,-122.92
49.22,-122.93
49.28,-122.95
49.2,-122.03
49.37,-123.1
49.35,-123.12
49.32,-123.08
49.33,-123.12
49.38,-123.08
49.35,-123.08
49.37,-123.03
49.35,-123.03
49.35,-123.08
49.32,-123.12
49.35,-123.07
49.3,-123.01
49.35,-123.07
49.35,-123.03
49.31,-123.12
49.32,-122.95
49.43,-122.52
49.22,-122.71
49.21,-122.69
49.23,-122.68
49.27,-122.63
49.25,-122.73
49.33,-123.26
49.27,-122.78
49.27,-122.78
49.27,-122.73
49.15,-122.7
49.28,-122.85
49.12,-122.85
49.15,-123.12
49.13,-123.13
49.18,-123.09
49.18,-122.97
49.2,-123.1
49.15,-123.15
49.17,-123.02
49.2,-123.03
49.18,-121.8
49.17,-122.42
49.28,-122.88
49.15,-123.12
49.3,-122.8
49.15,-123.17
49.17,-123.09
49.11,-123.3
49.08,-121.89
49.12,-121.95
49.42,-122.95
49.44,-122.97
49.23,-122.37
49.28,-122.33
49.13,-123.19
49.11,-122.11
49.05,-122.13
49.05,-122.15
49.19,-122.86
49.11,-122.83
49.13,-122.85
49.05,-122.77
49.22,-122.87
49.21,-122.78
49.18,-122.85
49.03,-122.77
49.2,-122.77
49,-123.13
49.18,-123.19
49.19,-123.18
49.25,-123.05
49.23,-123.02
49.19,-123.18
49.28,-123.12
49.23,-123.1
49.23,-123.18
49.25,-123.18
49.28,-123.05
49.27,-123.13
49.2,-123.05
49.3,-123.12
49.2,-123.18
49.23,-123.17
49.23,-123.13
49.25,-123.08
49.27,-123.17
49.2,-123.13
49.27,-123.1
49.22,-123.13
49.23,-123.12
49.28,-123.12
49.23,-123.15
49.23,-123.03
49.23,-123.18
49.22,-123.07
49.27,-123.15
49.25,-123.25
49.27,-123.22
49.27,-123.2
49.1,-122
49.33,-123.17
49.37,-123.13
49.35,-123.19
49.35,-123.12
49.38,-123.28
49.35,-123.25
49.33,-123.18
49.35,-123.25
49.33,-123.12
49.33,-123.18
49.37,-123.13
49.33,-123.17
49.33,-123.15
49.33,-123.15
49.2,-122.85
49.2,-122.85
49.18,-122.83
49.2,-122.85
50.07,-122.95
49.02,-122.78
49.03,-122.82
49.04,-122.88
49.02,-122.78
49.21,-122.48
49.18,-122.47
49.18,-122.5
49.18,-122.48
50.08,-122.95
50.09,-122.98
50.07,-122.95
50.09,-122.96
49.35,-123.15
49.22,-123.05
49.07,-122.07
49.08,-122.12
49.22,-123
49.27,-122.85
49.32,-123.08
49.28,-122.58
49.45,-123.23
49.22,-122.63
49.25,-122.23
49.36,-123.11
49.32,-123.05
49.33,-123.07
49.32,-123.05
49.32,-123.02
49.35,-123.12
49.22,-122.68
49.28,-122.75
49.28,-122.67
49.02,-123.58
49.25,-122.78
49.1,-122.85
49.19,-122.83
49.27,-123.17
49.27,-123.17
49.27,-123.03
49.28,-123.05
49.27,-123.17
49.33,-122.88
49.22,-122.48
49.44,-122.97
49.37,-123.08
49.36,-123.1
49.32,-123
49.32,-122.95
49.15,-122.79
49.13,-120.83
49.12,-120.87
49.92,-121.45
49.87,-121.43
50.57,-122.65
49.87,-121.45
50.7,-121.92
50.52,-122.52
49.78,-121.45
49.37,-121.48
49.37,-121.5
49.37,-121.5
49.37,-121.5
49.37,-121.49
49.42,-121.55
49.38,-121.4
49.38,-121.42
49.27,-121.22
49.27,-121.23
49.28,-121.24
50.67,-121.8
49.5,-121.25
50.68,-121.93
50.7,-121.93
50.6,-121.87
50.53,-121.77
50.7,-121.93
50.7,-121.93
50.67,-121.92
50.67,-121.88
50.22,-121.58
50.22,-121.58
50.23,-121.57
50.23,-121.58
50.33,-121.55
50.4,-121.68
50.26,-121.61
50.22,-121.58
50.62,-122.43
50.88,-122.27
50.87,-121.83
50.88,-121.88
50.33,-122.55
51.03,-121.8
50.73,-122.24
49.08,-121.17
49.42,-121.05
49.57,-121.43
51.07,-121.94
49.73,-119.58
49.4,-119.92
50.4,-119.28
50.4,-119.25
49.72,-120.23
49.7,-120.28
49.48,-120.73
49.58,-119.57
49.82,-120.87
49.18,-119.77
49.68,-119.53
50.16,-120.2
50.37,-119.32
49.47,-120.73
49.36,-120.08
49.36,-120.07
49.37,-120.02
50.5,-121
50.47,-121.02
49.67,-120.33
49.86,-119.13
49.9,-119.47
49.96,-119.38
49.96,-119.38
49.96,-119.38
49.9,-119.3
49.88,-119.47
49.87,-119.58
49.87,-119.42
49.79,-119.54
49.85,-119.45
49.86,-119.4
49.86,-119.55
49.87,-119.48
49.84,-119.57
49.94,-119.4
49.95,-119.4
49.2,-119.82
49.21,-119.82
49.22,-119.83
49.67,-119.95
50.48,-120.53
50.5,-120.82
50.38,-120.8
49.07,-120.78
49.8,-119.2
50.47,-120.68
50.12,-120.8
50.11,-120.78
50.2,-120.88
50.11,-120.8
49.15,-119.23
49.12,-119.68
49.62,-119.6
49.55,-119.57
50.13,-119
50.15,-120.65
50.25,-120.45
50.17,-120.63
50.06,-119.45
49.35,-119.53
49.8,-119.52
49.82,-119.48
49.35,-119.53
49.17,-119.56
49.18,-119.53
49.18,-119.54
49.18,-119.55
49.12,-119.55
49.03,-119.43
49.03,-119.44
49.02,-119.43
49.03,-119.44
49.7,-120.18
50.11,-119.37
49.32,-119.55
49.78,-119.72
49.78,-119.71
49.87,-120
49.7,-119.74
49.77,-119.75
49.78,-119.83
50,-120.15
49.48,-119.58
49.46,-119.6
49.46,-119.6
49.5,-119.6
49.43,-120.5
49.47,-120.51
49.47,-120.51
49.53,-120.43
49.47,-120.51
49.97,-119.45
49.33,-120.52
49.35,-120.55
49.6,-119.67
49.57,-119.65
49.57,-119.63
50.25,-119.27
50.23,-119.28
50.26,-119.31
50.28,-119.22
50.22,-119.2
50.22,-119.19
50.22,-119.19
50.34,-119.27
50.36,-119.06
50.23,-119.37
50.3,-119.27
49.83,-119.63
49.83,-119.63
50.04,-119.42
50.05,-119.38
50.05,-119.45
49.93,-119.43
50.05,-119.43
49.47,-120.51
49.56,-119.65
50.25,-119.27
49.93,-120.35
49.17,-119.57
49.42,-119.11
49.48,-119.05
49.73,-118.93
49.73,-118.93
49.05,-119.17
49.5,-119.08
49.65,-118.75
49.03,-118.47
49.03,-118.45
49.04,-118.49
49.1,-118.58
49.02,-118.47
49.1,-118.68
49.07,-118.93
49.25,-118.43
49,-118.77
49.07,-119.02
49.12,-119.16
49.05,-119.07
50.17,-116.93
49.02,-118.23
49.17,-117.72
49.45,-117.48
49.48,-116.75
49.33,-117.67
49.3,-117.63
49.3,-117.63
49.34,-117.77
49.3,-117.63
49.34,-117.73
49.05,-117.6
49.07,-117.6
49.68,-116.83
49.45,-117.57
49.1,-116.52
49.07,-116.48
49.1,-116.53
49.42,-118.05
50.24,-116.97
49.83,-118.13
49.87,-118.07
49.87,-118.07
50.67,-117.48
49.22,-117.68
50.5,-117.3
49.6,-117.05
50.3,-117
49.91,-116.92
49,-116.18
49.67,-116.87
49.07,-117.03
50.2,-116.97
50.66,-117.39
49.03,-116.46
50.27,-117.82
50.25,-117.8
50.27,-117.78
49.9,-118.08
49.92,-118.07
49.48,-117.35
49.48,-117.35
49.59,-117.21
49.5,-117.27
49.52,-117.28
49.5,-117.28
49.48,-117.3
50,-117.37
49.15,-117.92
49.49,-117.31
49,-117.82
49.67,-117.48
49.33,-117.7
49.08,-117.8
49.08,-117.8
49.18,-117.3
49.97,-117.22
50.62,-117.93
49.25,-116.62
49.46,-117.52
49.47,-117.52
49.37,-117.57
49.13,-117.73
50.33,-117.5
49.02,-117.58
49.1,-117.75
49.11,-117.74
49.08,-116.58
50.57,-116.23
49.17,-116.58
49.2,-116.58
49.08,-116.5
49.51,-117.4
49.54,-117.65
49.27,-117.2
49.08,-116.1
49.5,-115.37
49.23,-115.22
50.15,-115.82
50.15,-115.82
49.52,-114.65
49.5,-115.78
49.53,-115.77
49.61,-115.78
49.61,-115.78
49.45,-115.52
49.5,-115.73
49.61,-115.78
49.62,-115.79
49.48,-115.75
50.02,-114.92
49.3,-115.12
49.49,-115.07
49.47,-115.1
49.5,-115.07
50.2,-114.82
50.15,-114.86
49.51,-115.76
49.63,-115.62
49.52,-115.46
49.08,-115.07
49.78,-115.73
50.5,-116.03
50.47,-116.05
49.68,-115.98
49.73,-115.78
49.68,-115.98
49.67,-115.96
49.63,-115.96
50.62,-116.07
50.88,-116.05
51.18,-116.12
50.65,-116.02
50.63,-116.06
49.64,-115.96
49.28,-115.83
49.7,-114.92
49.77,-114.83
49.75,-114.88
49.02,-115.15
50.67,-115.97
49.75,-114.88
49.75,-114.88
49.75,-114.88
49.83,-114.88
49.02,-115.08
49.47,-115.46
49.81,-115.63
50.17,-115.42
49.58,-115.88
49.7,-115.9
50.47,-115.98
50.47,-115.95
51.08,-119.8
50.45,-119.18
50.5,-119.22
50.47,-119.13
50.72,-121.28
50.73,-121.27
50.71,-121.28
50.73,-121.27
50.72,-121.33
50.55,-121.33
51.78,-119.33
51.18,-120.12
51.23,-120.15
52.12,-119.29
52.13,-119.29
52.15,-119.28
52.12,-119.29
51.47,-120.73
51.5,-120.79
52.13,-119.29
51.71,-121.08
50.92,-121.42
51.87,-120.87
50.8,-119.07
50.96,-119.38
50.82,-119.69
50.23,-118.58
51.25,-120.18
51.26,-120.2
51.65,-120.08
51.65,-120.03
51.65,-120.1
51.08,-121.57
51.14,-121.5
51.27,-121.68
51.14,-121.5
51.52,-120.12
51.62,-120.12
51.03,-120.73
51.29,-120.18
50.93,-119.22
50.55,-119.15
50.55,-118.92
50.53,-119.17
50.47,-119.4
50.5,-119.5
50.97,-118.53
50.75,-121.58
50.92,-120.18
51.92,-120.05
50.48,-120.98
50.52,-120.98
50.52,-120.98
51.2,-120.48
51.6,-121.2
51.57,-121.07
50.67,-120.33
50.7,-120.44
50.7,-120.45
50.67,-120.5
50.72,-120.45
50.68,-120.58
50.65,-120.58
50.67,-120.37
50.72,-120.37
50.68,-120.35
50.7,-120.44
50.67,-120.32
50.68,-120.25
50.97,-120.13
50.95,-120.13
50.62,-120.32
51.5,-120.62
51.45,-120.2
51.37,-120.18
51.65,-120.83
51.07,-121.33
51.03,-120.03
50.24,-118.96
50.37,-118.77
50.38,-118.78
51,-118.65
50.72,-119.03
51.55,-121.2
51.57,-121.15
50.6,-120.32
51.05,-120.22
50.52,-119.85
50.52,-119.85
51.87,-120.02
50.78,-120.18
50.8,-120.13
51.65,-121.3
51.68,-121.22
50.68,-119.82
50.94,-120.8
50.9,-120.77
50.22,-118.5
51.84,-120.98
50.7,-119.25
50.7,-119.28
50.68,-119.35
50.72,-119.95
50.69,-119.23
51.17,-119.82
50.92,-119.46
51.3,-121.4
51.25,-118.95
51.07,-119.03
50.3,-118.82
50.8,-119
50.85,-118.98
50.55,-119.35
50.88,-119.48
50.88,-119.4
50.42,-121.5
50.42,-121.31
50.33,-118.53
50.75,-119.33
50.8,-119.3
50.8,-119.3
50.67,-119.3
50.9,-119.91
50.72,-120.52
50.84,-119.56
51.58,-119.78
50.6,-121.38
50.93,-120.25
51.47,-121.07
51.47,-121.12
50.47,-119.75
50.23,-118.58
51.68,-120
50.63,-120.17
51.42,-121.23
51.57,-121.15
50.67,-120.17
50.7,-119.29
51.33,-120.84
51.73,-120
50.82,-120.29
50.7,-120.38
51.7,-121.33
