Station Name,CARCROSS,,,,,,,,,,,,,,,,,,,,,,,,,
Province,YUKON TERRITORY,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,60.17,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-134.7,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation,660,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Identifier,2100200,,,,,,,,,,,,,,,,,,,,,,,,,
WMO Identifier,,,,,,,,,,,,,,,,,,,,,,,,,,
TC Identifier,,,,,,,,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),,,,,,,,,,,,
1999/1/5,1999,1,5,,-31,,-31,,-31,,49,,0,,0,,0,,0,,26,,,,,
1999/1/6,1999,1,6,,,M,-40,,,M,,M,,M,0,,0,,0,,,M,,,,
1999/1/7,1999,1,7,,-25,,-42,E,-33.5,E,51.5,E,0,E,0,,7,,7,,,M,,,,
1999/1/8,1999,1,8,,-21,,-30,,-25.5,,43.5,,0,,0,,1,,1,,,M,,,,
1999/1/9,1999,1,9,,-21,,-29,,-25,,43,,0,,0,,0,T,0,T,,M,,,,
1999/1/10,1999,1,10,,-16,,-28,,-22,,40,,0,,0,,1,,1,,,M,,,,
1999/1/11,1999,1,11,,-16,,-21,,-18.5,,36.5,,0,,0,,0,,0,,,M,,,,
1999/1/12,1999,1,12,,-2,,-25,,-13.5,,31.5,,0,,0,,0,,0,,,M,,,,
1999/1/13,1999,1,13,,1,,-20,,-9.5,,27.5,,0,,0,,0,,0,,,M,,,,
1999/1/14,1999,1,14,,3,,-10,,-3.5,,21.5,,0,,0,,0,,0,,,M,,,,
1999/1/15,1999,1,15,,0,,-3,,-1.5,,19.5,,0,,0,,0,,0,,,M,,,,
1999/1/16,1999,1,16,,-14,,-14,,-14,,32,,0,,0,,0,,0,,,M,,,,
1999/1/17,1999,1,17,,-13,,-26,,-19.5,,37.5,,0,,0,,0,T,0,T,,M,,,,
1999/1/18,1999,1,18,,-12,,-25,,-18.5,,36.5,,0,,0,,0.5,,0.5,,,M,,,,
1999/1/19,1999,1,19,,-15,,-15,,-15,,33,,0,,0,,0,,0,,,M,,,,
1999/1/20,1999,1,20,,-30,,-39,,-34.5,,52.5,,0,,0,,0,,0,,,M,,,,
1999/1/21,1999,1,21,,-25,,-44,,-34.5,,52.5,,0,,0,,0,,0,,,M,,,,
1999/1/22,1999,1,22,,-30,,-44,,-37,,55,,0,,0,,0,,0,,,M,,,,
1999/1/23,1999,1,23,,-3,,-41,,-22,,40,,0,,0,,0,,0,,,M,,,,
1999/1/24,1999,1,24,,-7,,-31,,-19,,37,,0,,0,,0.5,,0.5,,,M,,,,
1999/1/25,1999,1,25,,-5,,-16.5,,-10.8,,28.8,,0,,0,,0,,0,,,M,,,,
1999/1/26,1999,1,26,,-12,,-24,,-18,,36,,0,,0,,4,,4,,,M,,,,
1999/1/27,1999,1,27,,-13,,-22,,-17.5,,35.5,,0,,0,,2,,2,,,M,,,,
1999/1/28,1999,1,28,,-17,,-18,,-17.5,,35.5,,0,,0,,1,,1,,,M,,,,
1999/1/29,1999,1,29,,-24,,-25,,-24.5,,42.5,,0,,0,,0,,0,,,M,,,,
1999/1/30,1999,1,30,,-26,,-36,,-31,,49,,0,,0,,0,,0,,,M,,,,
1999/1/31,1999,1,31,,-16,E,-39,,-27.5,E,45.5,E,0,E,0,,0,,0,,,M,,,,
1999/2/1,1999,2,1,,-20,,,M,,M,,M,,M,0,,0,,0,,,M,,,,
1999/2/2,1999,2,2,,-18,,-34,,-26,,44,,0,,0,,0,,0,,,M,,,,
1999/2/3,1999,2,3,,,M,-29,,,M,,M,,M,0,,0,,0,,,M,,,,
1999/2/4,1999,2,4,,,M,-29,,,M,,M,,M,0,,3,,3,,,M,,,,
1999/2/5,1999,2,5,,-25,,-30,,-27.5,,45.5,,0,,0,,5,,5,,,M,,,,
1999/2/6,1999,2,6,,-20,,-30,,-25,,43,,0,,0,,8,,8,,,M,,,,
1999/2/7,1999,2,7,,-21,,-29,,-25,,43,,0,,0,,0,,0,,,M,,,,
1999/2/8,1999,2,8,,-24,,-34,,-29,,47,,0,,0,,0,,0,,,M,,,,
1999/2/9,1999,2,9,,-21,,-36,,-28.5,,46.5,,0,,0,,0,,0,,,M,,,,
1999/2/10,1999,2,10,,-19,,-25,,-22,,40,,0,,0,,0.5,,0.5,,,M,,,,
1999/2/11,1999,2,11,,-20,,-34,,-27,,45,,0,,0,,5,,5,,,M,,,,
1999/2/12,1999,2,12,,-17,,-23,,-20,,38,,0,,0,,0,T,0,T,,M,,,,
1999/2/13,1999,2,13,,-12,,-25,,-18.5,,36.5,,0,,0,,0,,0,,,M,,,,
1999/2/14,1999,2,14,,-1,,-24,,-12.5,,30.5,,0,,0,,0,,0,,,M,,,,
1999/2/15,1999,2,15,,-8,,-18,,-13,,31,,0,,0,,0,,0,,,M,,,,
1999/2/16,1999,2,16,,-6,,-22,,-14,,32,,0,,0,,0,,0,,,M,,,,
1999/2/17,1999,2,17,,-7,,-20,,-13.5,,31.5,,0,,0,,0,,0,,,M,,,,
1999/2/18,1999,2,18,,-1,,-20,,-10.5,,28.5,,0,,0,,0,,0,,,M,,,,
1999/2/19,1999,2,19,,-9,,-21,,-15,,33,,0,,0,,0,,0,,,M,,,,
1999/2/20,1999,2,20,,-13,,-28,,-20.5,,38.5,,0,,0,,0,,0,,,M,,,,
1999/2/21,1999,2,21,,-13,,-32,,-22.5,,40.5,,0,,0,,2,,2,,,M,,,,
1999/2/22,1999,2,22,,-9,,-32,,-20.5,,38.5,,0,,0,,3,,3,,31,,,,,
1999/2/23,1999,2,23,,-7,,-21,,-14,,32,,0,,0,,0,,0,,,M,,,,
1999/2/24,1999,2,24,,-5,,-21,,-13,,31,,0,,0,,0,T,0,T,,M,,,,
1999/2/25,1999,2,25,,,M,-17,,,M,,M,,M,0,,0,,0,,,M,,,,
1999/2/26,1999,2,26,,-2,,,M,,M,,M,,M,0,,0,,0,,,M,,,,
1999/2/27,1999,2,27,,-5,,-26,,-15.5,,33.5,,0,,0,,0,,0,,,M,,,,
1999/2/28,1999,2,28,,-2,,-26,,-14,,32,,0,,0,,0,,0,,,M,,,,
1999/3/1,1999,3,1,,-6,,-23,,-14.5,,32.5,,0,,0,,0,,0,,,M,,,,
1999/3/2,1999,3,2,,-4,,-14,,-9,,27,,0,,0,,0,T,0,T,,M,,,,
1999/3/3,1999,3,3,,-4,,-15,,-9.5,,27.5,,0,,0,,0,T,0,T,,M,,,,
1999/3/4,1999,3,4,,-9,,-15,,-12,,30,,0,,0,,0,,0,,,M,,,,
1999/3/5,1999,3,5,,-16,,-21,,-18.5,,36.5,,0,,0,,0,T,0,T,,M,,,,
1999/3/6,1999,3,6,,-16,,-18,,-17,,35,,0,,0,,1,,1,,,M,,,,
1999/3/7,1999,3,7,,-14,,-19,,-16.5,,34.5,,0,,0,,0,T,0,T,,M,,,,
1999/3/8,1999,3,8,,-13,,-29,,-21,,39,,0,,0,,0,T,0,T,32,,,,,
1999/3/9,1999,3,9,,0.5,,-24.5,,-12,,30,,0,,0,,0,,0,,,M,,,,
1999/3/10,1999,3,10,,4,,-16.5,,-6.3,,24.3,,0,,0,,0,,0,,,M,,,,
1999/3/11,1999,3,11,,4,,-3,,0.5,,17.5,,0,,0,,0,,0,,,M,,,,
1999/3/12,1999,3,12,,0,,-1,,-0.5,,18.5,,0,,0,,0,,0,,,M,,,,
1999/3/13,1999,3,13,,5,,-15,,-5,,23,,0,,0,,0,,0,,,M,,,,
1999/3/14,1999,3,14,,2,,-17,,-7.5,,25.5,,0,,0,,0,,0,,,M,,,,
1999/3/15,1999,3,15,,2,,-12,,-5,,23,,0,,0,,0,,0,,,M,,,,
1999/3/16,1999,3,16,,1,,-14,,-6.5,,24.5,,0,,0,,0,,0,,,M,,,,
1999/3/17,1999,3,17,,2,,-13,,-5.5,,23.5,,0,,0,,0,,0,,,M,,,,
1999/3/18,1999,3,18,,1,,-11,,-5,,23,,0,,0,,0,,0,,,M,,,,
1999/3/19,1999,3,19,,-2,,-19,,-10.5,,28.5,,0,,0,,0,T,0,T,,M,,,,
1999/3/20,1999,3,20,,4,,-12,,-4,,22,,0,,0,,0,T,0,T,,M,,,,
1999/3/21,1999,3,21,,4,,-12,,-4,,22,,0,,0,,0,,0,,,M,,,,
1999/3/22,1999,3,22,,8,,-6,,1,,17,,0,,0,T,0,,0,T,,M,,,,
1999/3/23,1999,3,23,,6,,-2.5,,1.8,,16.2,,0,,0,,0,,0,,,M,,,,
1999/3/24,1999,3,24,,5,,-8,,-1.5,,19.5,,0,,0,,0,,0,,,M,,,,
1999/3/25,1999,3,25,,5,,-9,,-2,,20,,0,,0,,0,,0,,,M,,,,
1999/3/26,1999,3,26,,4,,-12,,-4,,22,,0,,0,,0,,0,,,M,,,,
1999/3/27,1999,3,27,,4,,-10,,-3,,21,,0,,0,,0,,0,,,M,,,,
1999/3/28,1999,3,28,,3,,-17,,-7,,25,,0,,0,,0,,0,,,M,,,,
1999/3/29,1999,3,29,,5,,-18,,-6.5,,24.5,,0,,0,,0,,0,,19,,,,,
1999/3/30,1999,3,30,,4.5,,-18,,-6.8,,24.8,,0,,0,,0,,0,,,M,,,,
1999/3/31,1999,3,31,,4,,-9,,-2.5,,20.5,,0,,0,,0,,0,,,M,,,,
1999/4/1,1999,4,1,,,M,-9,,,M,,M,,M,0,,0,,0,,,M,,,,
1999/4/2,1999,4,2,,,M,,M,,M,,M,,M,0,,0,,0,,,M,,,,
1999/4/3,1999,4,3,,,M,,M,,M,,M,,M,0,,0,,0,,,M,,,,
1999/4/4,1999,4,4,,,M,-15,,,M,,M,,M,0,,0,,0,,,M,,,,
1999/4/5,1999,4,5,,3,,,M,,M,,M,,M,0,,4,,4,,,M,,,,
1999/4/6,1999,4,6,,4,,,M,,M,,M,,M,0,,1,,1,,,M,,,,
1999/4/7,1999,4,7,,2,,-5,,-1.5,,19.5,,0,,0,,0,,0,,,M,,,,
1999/4/8,1999,4,8,,1,,-8.5,,-3.8,,21.8,,0,,0,,0,,0,,,M,,,,
1999/4/9,1999,4,9,,,M,-17,,,M,,M,,M,0,,0,,0,,,M,,,,
1999/4/10,1999,4,10,,,M,,M,,M,,M,,M,0,,0,,0,,,M,,,,
1999/4/11,1999,4,11,,6,,,M,,M,,M,,M,0,,0,T,0,T,,M,,,,
1999/4/12,1999,4,12,,4,,,M,,M,,M,,M,0,,0,,0,,,M,,,,
1999/4/13,1999,4,13,,5,,-6,,-0.5,,18.5,,0,,0,,0,,0,,13,,,,,
1999/4/14,1999,4,14,,5,,-6,,-0.5,,18.5,,0,,0,,0,,0,,,M,,,,
1999/4/15,1999,4,15,,7,,-2,,2.5,,15.5,,0,,0,,0,,0,,,M,,,,
1999/4/16,1999,4,16,,,M,0,,,M,,M,,M,0,,0,,0,,,M,,,,
1999/4/17,1999,4,17,,,M,,M,,M,,M,,M,0,,0,,0,,,M,,,,
1999/4/18,1999,4,18,,14,,,M,,M,,M,,M,0,,0,,0,,,M,,,,
1999/4/19,1999,4,19,,12,,-4,,4,,14,,0,,0.4,,0,,0.4,,,M,,,,
1999/4/20,1999,4,20,,12,,-1,,5.5,,12.5,,0,,0,,0,,0,,,M,,,,
1999/4/21,1999,4,21,,12,,0,,6,,12,,0,,0,,0,,0,,,M,,,,
1999/4/22,1999,4,22,,5,,-2,,1.5,,16.5,,0,,0,,0,,0,,,M,,,,
1999/4/23,1999,4,23,,,M,-2,,,M,,M,,M,0,,0,,0,,,M,,,,
1999/4/24,1999,4,24,,,M,,M,,M,,M,,M,0,C,0,,0,C,,M,,,,
1999/4/25,1999,4,25,,7,,,M,,M,,M,,M,5,A,0,,5,A,,M,,,,
1999/4/26,1999,4,26,,5,,-5,,0,,18,,0,,0,,0,,0,,,M,,,,
1999/4/27,1999,4,27,,4,,-6,,-1,,19,,0,,0,,0,,0,,,M,,,,
1999/4/28,1999,4,28,,5,,-6,,-0.5,,18.5,,0,,0,,0,,0,,,M,,,,
1999/4/29,1999,4,29,,4,,-2,,1,,17,,0,,0,,0,,0,,,M,,,,
1999/4/30,1999,4,30,,,M,-7.5,,,M,,M,,M,0,,0,,0,,,M,,,,
1999/5/1,1999,5,1,,,M,,M,,M,,M,,M,0,,,M,,M,,,,,,
1999/5/2,1999,5,2,,,M,,M,,M,,M,,M,0,,,M,,M,,,,,,
1999/5/3,1999,5,3,,6,,-4,,1,,17,,0,,0,,,M,,M,,,,,,
1999/5/4,1999,5,4,,9,,-1,,4,,14,,0,,0,,0,,0,,,,,,,
1999/5/5,1999,5,5,,7,,-7,,0,,18,,0,,0,,0,,0,,,,,,,
1999/5/6,1999,5,6,,6,,-3,,1.5,,16.5,,0,,0,,0,T,0,T,,,,,,
1999/5/7,1999,5,7,,,M,0,,,M,,M,,M,0,,,M,,M,,,,,,
1999/5/8,1999,5,8,,,M,,M,,M,,M,,M,0,,0,,0,,,,,,,
1999/5/9,1999,5,9,,9,,,M,,M,,M,,M,0,,0,,0,,,,,,,
1999/5/10,1999,5,10,,10,,-5,,2.5,,15.5,,0,,0,,0,,0,,,,,,,
1999/5/11,1999,5,11,,11,,-7,,2,,16,,0,,6.4,,0,,6.4,,,,,,,
1999/5/12,1999,5,12,,13,,-7,,3,,15,,0,,6,,0,,6,,,,,,,
1999/5/13,1999,5,13,,15,,-2,,6.5,,11.5,,0,,0,,0,,0,,,,,,,
1999/5/14,1999,5,14,,16,,0,,8,,10,,0,,0,,0,,0,,,,,,,
1999/5/15,1999,5,15,,,M,,M,,M,,M,,M,0,,0,,0,,,,,,,
1999/5/16,1999,5,16,,,M,,M,,M,,M,,M,2.2,,0,,2.2,,,,,,,
1999/5/17,1999,5,17,,11,,-2,,4.5,,13.5,,0,,11.4,,0,,11.4,,,,,,,
1999/5/18,1999,5,18,,8,,1,,4.5,,13.5,,0,,4,,0,,4,,,,,,,
1999/5/19,1999,5,19,,10,,-1,,4.5,,13.5,,0,,1.2,,0,,1.2,,,,,,,
1999/5/20,1999,5,20,,11,,-1,,5,,13,,0,,0,,0,,0,,,,,,,
1999/5/21,1999,5,21,,,M,1,,,M,,M,,M,0,,0,,0,,,,,,,
1999/5/22,1999,5,22,,,M,,M,,M,,M,,M,0,C,0,,0,C,,,,,,
1999/5/23,1999,5,23,,,M,-4,,,M,,M,,M,0,C,0,,0,C,,,,,,
1999/5/24,1999,5,24,,12,,,M,,M,,M,,M,4.8,A,0,,4.8,A,,,,,,
1999/5/25,1999,5,25,,10,,,M,,M,,M,,M,0,,0,,0,,,,,,,
1999/5/26,1999,5,26,,10,,0,,5,,13,,0,,0,,0,,0,,,,,,,
1999/5/27,1999,5,27,,12,,2,,7,,11,,0,,0,,0,,0,,,,,,,
1999/5/28,1999,5,28,,,M,-1,,,M,,M,,M,0,,0,,0,,,,,,,
1999/5/29,1999,5,29,,,M,,M,,M,,M,,M,0,C,0,,0,C,,,,,,
1999/5/30,1999,5,30,,13,,,M,,M,,M,,M,2.2,A,0,,2.2,A,,,,,,
1999/5/31,1999,5,31,,11,,-2,,4.5,,13.5,,0,,2.8,,0,,2.8,,,,,,,
1999/6/1,1999,6,1,,16,,3,,9.5,,8.5,,0,,0,,0,,0,,0,,,,,
1999/6/2,1999,6,2,,12,,,M,,M,,M,,M,0,,0,,0,,0,,,,,
1999/6/3,1999,6,3,,12,,5,,8.5,,9.5,,0,,0,C,0,,0,C,0,,,,,
1999/6/4,1999,6,4,,,M,4,,,M,,M,,M,0,C,0,,0,C,0,,,,,
1999/6/5,1999,6,5,,,M,,M,,M,,M,,M,7.8,A,0,,7.8,A,0,,,,,
1999/6/6,1999,6,6,,17,,,M,,M,,M,,M,0,,0,,0,,0,,,,,
1999/6/7,1999,6,7,,24,,1,,12.5,,5.5,,0,,0,,0,,0,,0,,,,,
1999/6/8,1999,6,8,,23,,,M,,M,,M,,M,0,,0,,0,,0,,,,,
1999/6/9,1999,6,9,,23,,6,,14.5,,3.5,,0,,0,,0,,0,,0,,,,,
1999/6/10,1999,6,10,,19,,5,,12,,6,,0,,0,,0,,0,,0,,,,,
1999/6/11,1999,6,11,,,M,2,,,M,,M,,M,0,,0,,0,,0,,,,,
1999/6/12,1999,6,12,,25,,,M,,M,,M,,M,0,,0,,0,,0,,,,,
1999/6/13,1999,6,13,,,M,,M,,M,,M,,M,0,,0,,0,,0,,,,,
1999/6/14,1999,6,14,,23,,,M,,M,,M,,M,0,,0,,0,,0,,,,,
1999/6/15,1999,6,15,,24,,5,,14.5,,3.5,,0,,0,,0,,0,,0,,,,,
1999/6/16,1999,6,16,,21,,5,,13,,5,,0,,11.8,,0,,11.8,,0,,,,,
1999/6/17,1999,6,17,,17.5,,4,,10.8,,7.2,,0,,0,,0,,0,,0,,,,,
1999/6/18,1999,6,18,,20,,5,,12.5,,5.5,,0,,0,,0,,0,,0,,,,,
1999/6/19,1999,6,19,,,M,,M,,M,,M,,M,3.5,,0,,3.5,,0,,,,,
1999/6/20,1999,6,20,,,M,3,,,M,,M,,M,0,,0,,0,,0,,,,,
1999/6/21,1999,6,21,,15,,,M,,M,,M,,M,1.6,,0,,1.6,,0,,,,,
1999/6/22,1999,6,22,,15,,7,,11,,7,,0,,,M,0,,,M,0,,,,,
1999/6/23,1999,6,23,,17.5,,7,,12.3,,5.7,,0,,,M,0,,,M,0,,,,,
1999/6/24,1999,6,24,,21,,1,,11,,7,,0,,,M,0,,,M,0,,,,,
1999/6/25,1999,6,25,,23,,2,,12.5,,5.5,,0,,,M,0,,,M,0,,,,,
1999/6/26,1999,6,26,,,M,,M,,M,,M,,M,,M,0,,,M,0,,,,,
1999/6/27,1999,6,27,,,M,,M,,M,,M,,M,,M,0,,,M,0,,,,,
1999/6/28,1999,6,28,,16,,1,,8.5,,9.5,,0,,,M,0,,,M,0,,,,,
1999/6/29,1999,6,29,,17,,,M,,M,,M,,M,,M,0,,,M,0,,,,,
1999/6/30,1999,6,30,,,M,5,,,M,,M,,M,,M,0,,,M,0,,,,,
1999/7/1,1999,7,1,,18,,,M,,M,,M,,M,5,,0,,5,,0,,,,,
1999/7/2,1999,7,2,,,M,5,,,M,,M,,M,0,,0,,0,,0,,,,,
1999/7/3,1999,7,3,,,M,,M,,M,,M,,M,3.5,,0,,3.5,,0,,,,,
1999/7/4,1999,7,4,,25,,,M,,M,,M,,M,0,,0,,0,,0,,,,,
1999/7/5,1999,7,5,,20,,3,,11.5,,6.5,,0,,0,,0,,0,,0,,,,,
1999/7/6,1999,7,6,,20,,0.5,,10.3,,7.7,,0,,0,,0,,0,,0,,,,,
1999/7/7,1999,7,7,,24,,3,,13.5,,4.5,,0,,0,,0,,0,,0,,,,,
1999/7/8,1999,7,8,,18,,5,,11.5,,6.5,,0,,0,,0,,0,,0,,,,,
1999/7/9,1999,7,9,,,M,8,,,M,,M,,M,0,,0,,0,,0,,,,,
1999/7/10,1999,7,10,,,M,,M,,M,,M,,M,0,C,0,,0,C,0,,,,,
1999/7/11,1999,7,11,,19,,,M,,M,,M,,M,2,A,0,,2,A,0,,,,,
1999/7/12,1999,7,12,,19,,6,,12.5,,5.5,,0,,0,C,0,,0,C,0,,,,,
1999/7/13,1999,7,13,,23,,8,,15.5,,2.5,,0,,2.6,A,0,,2.6,A,0,,,,,
1999/7/14,1999,7,14,,26,,10,,18,,0,,0,,0,,0,,0,,0,,,,,
1999/7/15,1999,7,15,,28,,3,,15.5,,2.5,,0,,0,,0,,0,,0,,,,,
1999/7/16,1999,7,16,,27,,,M,,M,,M,,M,0,,0,,0,,0,,,,,
1999/7/17,1999,7,17,,,M,,M,,M,,M,,M,0,,0,,0,,0,,,,,
1999/7/18,1999,7,18,,,M,,M,,M,,M,,M,2.2,,0,,2.2,,0,,,,,
1999/7/19,1999,7,19,,17.5,,7,,12.3,,5.7,,0,,2.6,,0,,2.6,,0,,,,,
1999/7/20,1999,7,20,,19,,4,,11.5,,6.5,,0,,0,,0,,0,,0,,,,,
1999/7/21,1999,7,21,,19,,6,,12.5,,5.5,,0,,0,C,0,,0,C,0,,,,,
1999/7/22,1999,7,22,,10,,,M,,M,,M,,M,5.6,A,0,,5.6,A,0,,,,,
1999/7/23,1999,7,23,,,M,5,,,M,,M,,M,0,C,0,,0,C,0,,,,,
1999/7/24,1999,7,24,,,M,,M,,M,,M,,M,0,C,0,,0,C,0,,,,,
1999/7/25,1999,7,25,,19,,,M,,M,,M,,M,7.4,A,0,,7.4,A,0,,,,,
1999/7/26,1999,7,26,,17,,,M,,M,,M,,M,1.2,,0,,1.2,,0,,,,,
1999/7/27,1999,7,27,,16,,,M,,M,,M,,M,4.8,,0,,4.8,,0,,,,,
1999/7/28,1999,7,28,,14,,7,,10.5,,7.5,,0,,4.8,,0,,4.8,,0,,,,,
1999/7/29,1999,7,29,,20,,0,,10,,8,,0,,0,,0,,0,,0,,,,,
1999/7/30,1999,7,30,,,M,,M,,M,,M,,M,0,,0,,0,,0,,,,,
1999/7/31,1999,7,31,,,M,,M,,M,,M,,M,0,,0,,0,,0,,,,,
1999/8/1,1999,8,1,,29,,6,,17.5,,0.5,,0,,0,,0,,0,,0,,,,,
1999/8/2,1999,8,2,,28,,,M,,M,,M,,M,0,,0,,0,,0,,,,,
1999/8/3,1999,8,3,,27,,7,,17,,1,,0,,0,,0,,0,,0,,,,,
1999/8/4,1999,8,4,,30,,6,,18,,0,,0,,0,,0,,0,,0,,,,,
1999/8/5,1999,8,5,,31,,5,,18,,0,,0,,0,,0,,0,,0,,,,,
1999/8/6,1999,8,6,,27,,5,,16,,2,,0,,0,,0,,0,,0,,,,,
1999/8/7,1999,8,7,,,M,,M,,M,,M,,M,0,,0,,0,,0,,,,,
1999/8/8,1999,8,8,,,M,,M,,M,,M,,M,2.4,,0,,2.4,,0,,,,,
1999/8/9,1999,8,9,,19,,7,,13,,5,,0,,0,,0,,0,,0,,,,,
1999/8/10,1999,8,10,,19,,6,,12.5,,5.5,,0,,0,,0,,0,,0,,,,,
1999/8/11,1999,8,11,,24,,6,,15,,3,,0,,0,,0,,0,,0,,,,,
1999/8/12,1999,8,12,,24,,5,,14.5,,3.5,,0,,0,,0,,0,,0,,,,,
1999/8/13,1999,8,13,,,M,6,,,M,,M,,M,0,C,0,,0,C,0,,,,,
1999/8/14,1999,8,14,,,M,,M,,M,,M,,M,0,C,0,,0,C,0,,,,,
1999/8/15,1999,8,15,,,M,,M,,M,,M,,M,0,C,0,,0,C,0,,,,,
1999/8/16,1999,8,16,,16,,,M,,M,,M,,M,7.8,A,0,,7.8,A,0,,,,,
1999/8/17,1999,8,17,,17,,2,,9.5,,8.5,,0,,2,,0,,2,,0,,,,,
1999/8/18,1999,8,18,,20,,0,,10,,8,,0,,0,,0,,0,,0,,,,,
1999/8/19,1999,8,19,,20,,0,,10,,8,,0,,0,,0,,0,,0,,,,,
1999/8/20,1999,8,20,,,M,1,,,M,,M,,M,0,C,0,,0,C,0,,,,,
1999/8/21,1999,8,21,,,M,,M,,M,,M,,M,0,C,0,,0,C,0,,,,,
1999/8/22,1999,8,22,,16,,,M,,M,,M,,M,1.5,A,0,,1.5,A,0,,,,,
1999/8/23,1999,8,23,,15,,5,,10,,8,,0,,0,,0,,0,,0,,,,,
1999/8/24,1999,8,24,,13,,2,,7.5,,10.5,,0,,3.8,,0,,3.8,,0,,,,,
1999/8/25,1999,8,25,,15,,2,,8.5,,9.5,,0,,0,,0,,0,,0,,,,,
1999/8/26,1999,8,26,,15,,5,,10,,8,,0,,0,,0,,0,,0,,,,,
1999/8/27,1999,8,27,,,M,-2,,,M,,M,,M,0,C,0,,0,C,0,,,,,
1999/8/28,1999,8,28,,,M,,M,,M,,M,,M,0,C,0,,0,C,0,,,,,
1999/8/29,1999,8,29,,15,,,M,,M,,M,,M,5,A,0,,5,A,0,,,,,
1999/8/30,1999,8,30,,13,,,M,,M,,M,,M,0,,0,,0,,0,,,,,
1999/8/31,1999,8,31,,16,,6,,11,,7,,0,,0,,0,,0,,0,,,,,
1999/9/1,1999,9,1,,14,,3,,8.5,,9.5,,0,,0,,0,,0,,0,,,,,
1999/9/2,1999,9,2,,15,,4,,9.5,,8.5,,0,,0,,0,,0,,0,,,,,
1999/9/3,1999,9,3,,,M,6,,,M,,M,,M,0,,0,,0,,0,,,,,
1999/9/4,1999,9,4,,,M,,M,,M,,M,,M,0,,0,,0,,0,,,,,
