Station Name,CARMACKS CS,,,,,,,,,,,,,,,,,,,,,,,,,
Province,YUKON TERRITORY,,,,,,,,,,,,,,,,,,,,,,,,,
Current Station Operator,Environment and Climate Change Canada - Meteorological Service of Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,62.12,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-136.19,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation,542.9,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Identifier,2100301,,,,,,,,,,,,,,,,,,,,,,,,,
WMO Identifier,71039,,,,,,,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),,,,,,,,,,,,
2018/4/6,2018,4,6,,3.3,,-19.1,,-7.9,,25.9,,0,,,M,,M,0,,49,,14,,33,
2018/4/7,2018,4,7,,7.3,,-12.5,,-2.6,,20.6,,0,,,M,,M,0,,48,,,,<31,
2018/4/8,2018,4,8,,9.1,,-12,,-1.5,,19.5,,0,,,M,,M,0,,47,,,,<31,
2018/4/9,2018,4,9,,12.2,,-9.8,,1.2,,16.8,,0,,,M,,M,0,,47,,,,<31,
2018/4/10,2018,4,10,,10.8,,-5.3,,2.8,,15.2,,0,,,M,,M,0,,45,,12,,39,
2018/4/11,2018,4,11,,11.4,,-0.1,,5.7,,12.3,,0,,,M,,M,0,,43,,14,,41,
2018/4/12,2018,4,12,,11.3,,-7.5,,1.9,,16.1,,0,,,M,,M,0,,40,,,,<31,
2018/4/13,2018,4,13,,8.5,,0.3,,4.4,,13.6,,0,,,M,,M,0,,39,,,,<31,
2018/4/14,2018,4,14,,5.8,,-3.7,,1.1,,16.9,,0,,,M,,M,0.9,,37,,,,<31,
2018/4/15,2018,4,15,,1.3,,-6.2,,-2.5,,20.5,,0,,,M,,M,0,,35,,31,,35,
2018/4/16,2018,4,16,,1.7,,-14.2,,-6.3,,24.3,,0,,,M,,M,0,,34,,,,<31,
2018/4/17,2018,4,17,,4.5,,-14.6,,-5.1,,23.1,,0,,,M,,M,0,,34,,,,<31,
2018/4/18,2018,4,18,,7,,-14.4,,-3.7,,21.7,,0,,,M,,M,0,,34,,,,<31,
2018/4/19,2018,4,19,,8,,-8,,0,,18,,0,,,M,,M,0,,34,,19,,33,
2018/4/20,2018,4,20,,9.7,,-0.5,,4.6,,13.4,,0,,,M,,M,0,,32,,17,,39,
2018/4/21,2018,4,21,,8.2,,-6.1,,1.1,,16.9,,0,,,M,,M,0,,29,,20,,39,
2018/4/22,2018,4,22,,10.2,,-4.6,,2.8,,15.2,,0,,,M,,M,0,,26,,19,,37,
2018/4/23,2018,4,23,,12.6,,2.3,,7.5,,10.5,,0,,,M,,M,0,,25,,14,,46,
2018/4/24,2018,4,24,,12,,-2.8,,4.6,,13.4,,0,,,M,,M,0,,18,,15,,44,
2018/4/25,2018,4,25,,13.8,,2.1,,8,,10,,0,,,M,,M,0,,13,,14,,44,
2018/4/26,2018,4,26,,11.7,,-2.3,,4.7,,13.3,,0,,,M,,M,0,,4,,30,,33,
2018/4/27,2018,4,27,,9.3,,-6,,1.7,,16.3,,0,,,M,,M,0,,0,T,,,<31,
2018/4/28,2018,4,28,,9.7,,-4.3,,2.7,,15.3,,0,,,M,,M,0,,0,T,33,,32,
2018/4/29,2018,4,29,,11.5,,-3.8,,3.9,,14.1,,0,,,M,,M,0,,,,,,<31,
2018/4/30,2018,4,30,,14.9,,0.1,,7.5,,10.5,,0,,,M,,M,0,,,,22,,37,
2018/5/1,2018,5,1,,12,,1.1,,6.6,,11.4,,0,,,M,,M,0,,,,,,<31,
2018/5/2,2018,5,2,,7.5,,-0.4,,3.6,,14.4,,0,,,M,,M,2,,,,,,<31,
2018/5/3,2018,5,3,,8.3,,-3.8,,2.3,,15.7,,0,,,M,,M,0,,,,16,,33,
2018/5/4,2018,5,4,,13.6,,-2,,5.8,,12.2,,0,,,M,,M,0,,,,14,,52,
2018/5/5,2018,5,5,,15.1,,6.7,,10.9,,7.1,,0,,,M,,M,0,,,,15,,56,
2018/5/6,2018,5,6,,14.7,,-0.4,,7.2,,10.8,,0,,,M,,M,0,,,,,,<31,
2018/5/7,2018,5,7,,12.3,,1.2,,6.8,,11.2,,0,,,M,,M,0,,,,33,,33,
2018/5/8,2018,5,8,,17.4,,-5.5,,6,,12,,0,,,M,,M,0,,,,,,<31,
2018/5/9,2018,5,9,,,,,,,,,,,,,,,,,,,,,,,
2018/5/10,2018,5,10,,,,,,,,,,,,,,,,,,,,,,,
2018/5/11,2018,5,11,,18.4,,7.3,,12.9,,5.1,,0,,,M,,M,0,,,,17,,59,
2018/5/12,2018,5,12,,14,,3.4,,8.7,,9.3,,0,,,M,,M,0,,,,,,<31,
2018/5/13,2018,5,13,,13.4,,-2.9,,5.3,,12.7,,0,,,M,,M,0,,,,12,,39,
2018/5/14,2018,5,14,,13.1,,1.4,,7.3,,10.7,,0,,,M,,M,0,,,,33,,43,
2018/5/15,2018,5,15,,14.5,,-0.6,,7,,11,,0,,,M,,M,1.7,,,,,,<31,
2018/5/16,2018,5,16,,18.5,,-3.4,,7.6,,10.4,,0,,,M,,M,0.3,,,,,,<31,
2018/5/17,2018,5,17,,21.8,,-2.4,,9.7,,8.3,,0,,,M,,M,0,,,,,,<31,
2018/5/18,2018,5,18,,24.2,,-0.5,,11.9,,6.1,,0,,,M,,M,0,,,,12,,39,
2018/5/19,2018,5,19,,22.9,,8.5,,15.7,,2.3,,0,,,M,,M,0,,,,12,,35,
2018/5/20,2018,5,20,,18.1,,2.8,,10.5,,7.5,,0,,,M,,M,0,,,,11,,41,
2018/5/21,2018,5,21,,16.2,,6.4,,11.3,,6.7,,0,,,M,,M,0,,,,14,,61,
2018/5/22,2018,5,22,,18.1,,0,,9.1,,8.9,,0,,,M,,M,0.2,,,,16,,50,
2018/5/23,2018,5,23,,18,,-2.4,,7.8,,10.2,,0,,,M,,M,0,,,,,,<31,
2018/5/24,2018,5,24,,15.8,,4,,9.9,,8.1,,0,,,M,,M,0,,,,20,,41,
2018/5/25,2018,5,25,,15.4,,-3,,6.2,,11.8,,0,,,M,,M,0,,,,,,<31,
2018/5/26,2018,5,26,,17,,-2.3,,7.4,,10.6,,0,,,M,,M,0,,,,13,,41,
2018/5/27,2018,5,27,,17.2,,2.4,,9.8,,8.2,,0,,,M,,M,0,,,,13,,43,
2018/5/28,2018,5,28,,,M,-2,E,,M,,M,,M,,M,,M,,M,,,32,,33,
2018/5/29,2018,5,29,,16.3,,4.3,,10.3,,7.7,,0,,,M,,M,0.9,,,,,,<31,
2018/5/30,2018,5,30,,18.3,,-2.8,,7.8,,10.2,,0,,,M,,M,0.2,,,,11,,37,
2018/5/31,2018,5,31,,,M,-2,E,,M,,M,,M,,M,,M,,M,,,17,,32,
2018/6/1,2018,6,1,,,M,-0.9,E,,M,,M,,M,,M,,M,,M,,,,,<31,
2018/6/2,2018,6,2,,19.8,,-0.5,,9.7,,8.3,,0,,,M,,M,0,,,,13,,35,
2018/6/3,2018,6,3,,16.2,,6.2,,11.2,,6.8,,0,,,M,,M,0.9,,,,,,<31,
2018/6/4,2018,6,4,,19.9,,-0.9,,9.5,,8.5,,0,,,M,,M,0.6,,,,13,,43,
2018/6/5,2018,6,5,,19.5,,3.4,,11.5,,6.5,,0,,,M,,M,1.3,,,,,,<31,
2018/6/6,2018,6,6,,21.7,,-0.8,,10.5,,7.5,,0,,,M,,M,0.2,,,,14,,35,
2018/6/7,2018,6,7,,19.4,,0.7,,10.1,,7.9,,0,,,M,,M,0,,,,14,,43,
2018/6/8,2018,6,8,,20.2,,-0.4,,9.9,,8.1,,0,,,M,,M,0.8,,,,2,,43,
2018/6/9,2018,6,9,,19.3,,0.5,,9.9,,8.1,,0,,,M,,M,0.5,,,,31,,39,
2018/6/10,2018,6,10,,19.7,,2.1,,10.9,,7.1,,0,,,M,,M,5.9,,,,28,,33,
2018/6/11,2018,6,11,,20.1,,5.5,,12.8,,5.2,,0,,,M,,M,0.2,,,,34,,41,
2018/6/12,2018,6,12,,17.5,,5.3,,11.4,,6.6,,0,,,M,,M,3.5,,,,,,<31,
2018/6/13,2018,6,13,,19,,9.2,,14.1,,3.9,,0,,,M,,M,0,,,,28,,37,
2018/6/14,2018,6,14,,21.7,,7.4,,14.6,,3.4,,0,,,M,,M,0,,,,28,,33,
2018/6/15,2018,6,15,,23.8,,2.1,,13,,5,,0,,,M,,M,0.2,,,,14,,52,
2018/6/16,2018,6,16,,25.4,,12.3,,18.9,,0,,0.9,,,M,,M,0,,,,13,,41,
2018/6/17,2018,6,17,,23.9,,11.2,,17.6,,0.4,,0,,,M,,M,0,,,,17,,37,
2018/6/18,2018,6,18,,27.6,,11.4,,19.5,,0,,1.5,,,M,,M,0,,,,13,,46,
2018/6/19,2018,6,19,,28.7,,9.3,,19,,0,,1,,,M,,M,0,,,,25,,41,
2018/6/20,2018,6,20,,28.3,,8.8,,18.6,,0,,0.6,,,M,,M,0,,,,,,<31,
2018/6/21,2018,6,21,,28,,8.8,,18.4,,0,,0.4,,,M,,M,0,,,,15,,52,
2018/6/22,2018,6,22,,22.6,,11.1,,16.9,,1.1,,0,,,M,,M,0.2,,,,30,,32,
2018/6/23,2018,6,23,,23.6,,11.8,,17.7,,0.3,,0,,,M,,M,0.8,,,,35,,44,
2018/6/24,2018,6,24,,18.3,,10.6,,14.5,,3.5,,0,,,M,,M,0.4,,,,,,<31,
2018/6/25,2018,6,25,,21.9,,5.4,,13.7,,4.3,,0,,,M,,M,0,,,,4,,33,
2018/6/26,2018,6,26,,18,,8.8,,13.4,,4.6,,0,,,M,,M,2.1,,,,,,<31,
2018/6/27,2018,6,27,,15.8,,10,,12.9,,5.1,,0,,,M,,M,10.2,,,,,,<31,
2018/6/28,2018,6,28,,20.4,,9.6,,15,,3,,0,,,M,,M,0.8,,,,,,<31,
2018/6/29,2018,6,29,,21,,5.1,,13.1,,4.9,,0,,,M,,M,0,,,,13,,33,
2018/6/30,2018,6,30,,20.1,,7.1,,13.6,,4.4,,0,,,M,,M,0,,,,,,<31,
2018/7/1,2018,7,1,,16,,8.1,,12.1,,5.9,,0,,,M,,M,6.5,,,,,,<31,
2018/7/2,2018,7,2,,20.9,,9.8,,15.4,,2.6,,0,,,M,,M,1.6,,,,29,,33,
2018/7/3,2018,7,3,,23.8,,6,,14.9,,3.1,,0,,,M,,M,0.2,,,,1,,37,
2018/7/4,2018,7,4,,26.7,,6.4,,16.6,,1.4,,0,,,M,,M,0,,,,33,,35,
2018/7/5,2018,7,5,,25,,10.5,,17.8,,0.2,,0,,,M,,M,0.6,,,,30,,41,
2018/7/6,2018,7,6,,20.6,,8.3,,14.5,,3.5,,0,,,M,,M,0.3,,,,35,,32,
2018/7/7,2018,7,7,,25.9,,12,,19,,0,,1,,,M,,M,0,,,,,,<31,
2018/7/8,2018,7,8,,27.3,,9,,18.2,,0,,0.2,,,M,,M,0,,,,12,,39,
2018/7/9,2018,7,9,,21.1,,11.7,,16.4,,1.6,,0,,,M,,M,0,,,,15,,52,
2018/7/10,2018,7,10,,20.8,,10.3,,15.6,,2.4,,0,,,M,,M,0,,,,15,,50,
2018/7/11,2018,7,11,,18,,10.5,,14.3,,3.7,,0,,,M,,M,0.2,,,,32,,39,
2018/7/12,2018,7,12,,19,,6.4,,12.7,,5.3,,0,,,M,,M,0.4,,,,32,,37,
2018/7/13,2018,7,13,,23.1,,6.8,,15,,3,,0,,,M,,M,0,,,,,,<31,
2018/7/14,2018,7,14,,,M,5,E,,M,,M,,M,,M,,M,,M,,,,M,,M
2018/7/15,2018,7,15,,,,,,,,,,,,,,,,,,,,,,,
2018/7/16,2018,7,16,,,,,,,,,,,,,,,,,,,,,,,
2018/7/17,2018,7,17,,,,,,,,,,,,,,,,,,,,,,,
2018/7/18,2018,7,18,,,,,,,,,,,,,,,,,,,,,,,
2018/7/19,2018,7,19,,,M,,M,,M,,M,,M,,,,M,,M,,,,M,,M
2018/7/20,2018,7,20,,23,,6.8,,14.9,,3.1,,0,,,,,M,0.8,,,,,,,
2018/7/21,2018,7,21,,26.5,,5.9,,16.2,,1.8,,0,,,,,M,0,,,,34,,36,
2018/7/22,2018,7,22,,30,,6.5,,18.2,,0,,0.2,,,,,M,0,,,,,,,
2018/7/23,2018,7,23,,30.6,,8.1,,19.3,,0,,1.3,,,,,M,0,,,,15,,45,
2018/7/24,2018,7,24,,31,,6.9,,19,,0,,1,,,,,M,0,,,,13,,34,
2018/7/25,2018,7,25,,30.3,,6,,18.2,,0,,0.2,,,,,M,0,,,,13,,47,
2018/7/26,2018,7,26,,31.5,,8.4,,19.9,,0,,1.9,,,,,M,0,,,,,,,
2018/7/27,2018,7,27,,29.7,,12.8,,21.2,,0,,3.2,,,,,M,0,,,,31,,37,
2018/7/28,2018,7,28,,25.9,,14.8,,20.4,,0,,2.4,,,,,M,0,,,,,,,
2018/7/29,2018,7,29,,27.7,,12.2,,19.9,,0,,1.9,,,,,M,0,,,,,,,
2018/7/30,2018,7,30,,30.1,,8.8,,19.5,,0,,1.5,,,,,M,0,,,,,,,
2018/7/31,2018,7,31,,29.8,,9.4,,19.6,,0,,1.6,,,,,M,0.7,,,,,,,
2018/8/1,2018,8,1,,30.9,,9.9,,20.4,,0,,2.4,,,,,M,0,,,,,,,
2018/8/2,2018,8,2,,26.4,,13.7,,20,,0,,2,,,,,M,0,,,,15,,31,
2018/8/3,2018,8,3,,25.4,,7.2,,16.3,,1.7,,0,,,,,M,0,,,,13,,35,
